,output_text,vector, ,index,output_data_source
0,,"[[ 0.00064     0.00018475  0.00095329 ... -0.00013147 -0.00176968
  -0.00252047]]",,1,غزلیات حافظ
1,"الا يا ايها الساقی ادر کاسا و ناولها
که عشق آسان نمود اول ولی افتاد مشکل‌ها
به بوی نافه‌ای کاخر صبا زان طره بگشايد
ز تاب جعد مشکينش چه خون افتاد در دل‌ها
مرا در منزل جانان چه امن عيش چون هر دم
جرس فرياد می‌دارد که بربنديد محمل‌ها
به می سجاده رنگين کن گرت پير مغان گويد
که سالک بی‌خبر نبود ز راه و رسم منزل‌ها
شب تاريک و بيم موج و گردابی چنين هايل
کجا دانند حال ما سبکباران ساحل‌ها
همه کارم ز خود کامی به بدنامی کشيد آخر
نهان کی ماند آن رازی کز او سازند محفل‌ها
حضوری گر همی‌خواهی از او غايب مشو حافظ
متی ما تلق من تهوی دع الدنيا و اهملها",[[0.00588583 0.01351395 0.00531777 ... 0.01164544 0.01363999 0.02539452]],,2,غزلیات حافظ
2,"صلاح کار کجا و من خراب کجا
ببين تفاوت ره کز کجاست تا به کجا
دلم ز صومعه بگرفت و خرقه سالوس
کجاست دير مغان و شراب ناب کجا
چه نسبت است به رندی صلاح و تقوا را
سماع وعظ کجا نغمه رباب کجا
ز روی دوست دل دشمنان چه دريابد
چراغ مرده کجا شمع آفتاب کجا
چو کحل بينش ما خاک آستان شماست
کجا رويم بفرما از اين جناب کجا
مبين به سيب زنخدان که چاه در راه است
کجا همی‌روی ای دل بدين شتاب کجا
بشد که ياد خوشش باد روزگار وصال
خود آن کرشمه کجا رفت و آن عتاب کجا
قرار و خواب ز حافظ طمع مدار ای دوست
قرار چيست صبوری کدام و خواب کجا",[[0.02090856 0.00143632 0.00776408 ... 0.02357008 0.01189054 0.0157052 ]],,3,غزلیات حافظ
3,"اگر آن ترک شيرازی به دست آرد دل ما را
به خال هندويش بخشم سمرقند و بخارا را
بده ساقی می باقی که در جنت نخواهی يافت
کنار آب رکن آباد و گلگشت مصلا را
فغان کاين لوليان شوخ شيرين کار شهرآشوب
چنان بردند صبر از دل که ترکان خوان يغما را
ز عشق ناتمام ما جمال يار مستغنی است
به آب و رنگ و خال و خط چه حاجت روی زيبا را
من از آن حسن روزافزون که يوسف داشت دانستم
که عشق از پرده عصمت برون آرد زليخا را
اگر دشنام فرمايی و گر نفرين دعا گويم
جواب تلخ می‌زيبد لب لعل شکرخا را
نصيحت گوش کن جانا که از جان دوست‌تر دارند
جوانان سعادتمند پند پير دانا را
حديث از مطرب و می گو و راز دهر کمتر جو
که کس نگشود و نگشايد به حکمت اين معما را
غزل گفتی و در سفتی بيا و خوش بخوان حافظ
که بر نظم تو افشاند فلک عقد ثريا را",[[0.00564867 0.04115485 0.01061163 ... 0.02979708 0.01096759 0.0174647 ]],,4,غزلیات حافظ
4,"صبا به لطف بگو آن غزال رعنا را
که سر به کوه و بيابان تو داده‌ای ما را
شکرفروش که عمرش دراز باد چرا
تفقدی نکند طوطی شکرخا را
غرور حسنت اجازت مگر نداد ای گل
که پرسشی نکنی عندليب شيدا را
به خلق و لطف توان کرد صيد اهل نظر
به بند و دام نگيرند مرغ دانا را
ندانم از چه سبب رنگ آشنايی نيست
سهی قدان سيه چشم ماه سيما را
چو با حبيب نشينی و باده پيمايی
به ياد دار محبان بادپيما را
جز اين قدر نتوان گفت در جمال تو عيب
که وضع مهر و وفا نيست روی زيبا را
در آسمان نه عجب گر به گفته حافظ
سرود زهره به رقص آورد مسيحا را",[[0.00958758 0.0050537  0.00049442 ... 0.01895769 0.0123956  0.02378941]],,5,غزلیات حافظ
5,"دل می‌رود ز دستم صاحب دلان خدا را
دردا که راز پنهان خواهد شد آشکارا
کشتی شکستگانيم ای باد شرطه برخيز
باشد که بازبينيم ديدار آشنا را
ده روزه مهر گردون افسانه است و افسون
نيکی به جای ياران فرصت شمار يارا
در حلقه گل و مل خوش خواند دوش بلبل
هات الصبوح هبوا يا ايها السکارا
ای صاحب کرامت شکرانه سلامت
روزی تفقدی کن درويش بی‌نوا را
آسايش دو گيتی تفسير اين دو حرف است
با دوستان مروت با دشمنان مدارا
در کوی نيک نامی ما را گذر ندادند
گر تو نمی‌پسندی تغيير کن قضا را
آن تلخ وش که صوفی ام الخباثش خواند
اشهی لنا و احلی من قبله العذارا
هنگام تنگدستی در عيش کوش و مستی
کاين کيميای هستی قارون کند گدا را
سرکش مشو که چون شمع از غيرتت بسوزد
دلبر که در کف او موم است سنگ خارا
آيينه سکندر جام می است بنگر
تا بر تو عرضه دارد احوال ملک دارا
خوبان پارسی گو بخشندگان عمرند
ساقی بده بشارت رندان پارسا را
حافظ به خود نپوشيد اين خرقه می آلود
ای شيخ پاکدامن معذور دار ما را","[[ 6.8607223e-03 -5.2935479e-04  1.9250669e-02 ...  1.1134661e-02
   1.4453012e-05  8.7265503e-03]]",,6,غزلیات حافظ
6,"به ملازمان سلطان که رساند اين دعا را
که به شکر پادشاهی ز نظر مران گدا را
ز رقيب ديوسيرت به خدای خود پناهم
مگر آن شهاب ثاقب مددی دهد خدا را
مژه سياهت ار کرد به خون ما اشارت
ز فريب او بينديش و غلط مکن نگارا
دل عالمی بسوزی چو عذار برفروزی
تو از اين چه سود داری که نمی‌کنی مدارا
همه شب در اين اميدم که نسيم صبحگاهی
به پيام آشنايان بنوازد آشنا را
چه قيامت است جانا که به عاشقان نمودی
دل و جان فدای رويت بنما عذار ما را
به خدا که جرعه‌ای ده تو به حافظ سحرخيز
که دعای صبحگاهی اثری کند شما را",[[0.01598756 0.00393423 0.00623397 ... 0.019905   0.01282858 0.01945466]],,7,غزلیات حافظ
7,"صوفی بيا که آينه صافيست جام را
تا بنگری صفای می لعل فام را
راز درون پرده ز رندان مست پرس
کاين حال نيست زاهد عالی مقام را
عنقا شکار کس نشود دام بازچين
کان جا هميشه باد به دست است دام را
در بزم دور يک دو قدح درکش و برو
يعنی طمع مدار وصال دوام را
ای دل شباب رفت و نچيدی گلی ز عيش
پيرانه سر مکن هنری ننگ و نام را
در عيش نقد کوش که چون آبخور نماند
آدم بهشت روضه دارالسلام را
ما را بر آستان تو بس حق خدمت است
ای خواجه بازبين به ترحم غلام را
حافظ مريد جام می است ای صبا برو
وز بنده بندگی برسان شيخ جام را",[[0.00685456 0.00395665 0.01486329 ... 0.007156   0.00180921 0.0176342 ]],,8,غزلیات حافظ
8,"ساقيا برخيز و درده جام را
خاک بر سر کن غم ايام را
ساغر می بر کفم نه تا ز بر
برکشم اين دلق ازرق فام را
گر چه بدناميست نزد عاقلان
ما نمی‌خواهيم ننگ و نام را
باده درده چند از اين باد غرور
خاک بر سر نفس نافرجام را
دود آه سينه نالان من
سوخت اين افسردگان خام را
محرم راز دل شيدای خود
کس نمی‌بينم ز خاص و عام را
با دلارامی مرا خاطر خوش است
کز دلم يک باره برد آرام را
ننگرد ديگر به سرو اندر چمن
هر که ديد آن سرو سيم اندام را
صبر کن حافظ به سختی روز و شب
عاقبت روزی بيابی کام را","[[-0.00033188  0.00162362  0.0098963  ...  0.00462221  0.01099721
   0.02136148]]",,9,غزلیات حافظ
9,"رونق عهد شباب است دگر بستان را
می‌رسد مژده گل بلبل خوش الحان را
ای صبا گر به جوانان چمن بازرسی
خدمت ما برسان سرو و گل و ريحان را
گر چنين جلوه کند مغبچه باده فروش
خاکروب در ميخانه کنم مژگان را
ای که بر مه کشی از عنبر سارا چوگان
مضطرب حال مگردان من سرگردان را
ترسم اين قوم که بر دردکشان می‌خندند
در سر کار خرابات کنند ايمان را
يار مردان خدا باش که در کشتی نوح
هست خاکی که به آبی نخرد طوفان را
برو از خانه گردون به در و نان مطلب
کان سيه کاسه در آخر بکشد مهمان را
هر که را خوابگه آخر مشتی خاک است
گو چه حاجت که به افلاک کشی ايوان را
ماه کنعانی من مسند مصر آن تو شد
وقت آن است که بدرود کنی زندان را
حافظا می خور و رندی کن و خوش باش ولی
دام تزوير مکن چون دگران قرآن را",[[0.00083061 0.00039883 0.01049708 ... 0.02207556 0.01718134 0.01761781]],,10,غزلیات حافظ
