,model,input_id,input_text,output_id,output_text,k,input_vector,output_vector
0,LASER,0,باید حقوق دیگران را رعایت کنیم,67,ماهم این هفته برون رفت و به چشمم سالیست حال هجران تو چه دانی که چه مشکل حالیست مردم دیده ز لطف رخ او در رخ او عکس خود دید گمان برد که مشکین خالیست می‌چکد شیر هنوز از لب همچون شکرش گر چه در شیوه گری هر مژه‌اش قتالیست ای که انگشت نمایی به کرم در همه شهر وه که در کار غریبان عجبت اهمالیست بعد از اینم نبود شابه در جوهر فرد که دهان تو در این نکته خوش استدلالیست مژده دادند که بر ما گذری خواهی کرد نیت خیر مگردان که مبارک فالیست کوه اندوه فراقت به چه حالت بکشد حافظ خسته که از ناله تنش چون نالیست,1,"[[ 0.03747108 -0.00016837  0.00286943 ...  0.00470714  0.00046697
   0.02867498]]","[[ 0.04717535 -0.00016636  0.00233834 ...  0.01568107  0.01500359
   0.06286162]]"
1,LASER,0,باید حقوق دیگران را رعایت کنیم,166,ستاره‌ای بدرخشید و ماه مجلس شد دل رمیده ما را رفیق و مونس شد نگار من که به مکتب نرفت و خط ننوشت به غمزه مسله آموز صد مدرس شد به بوی او دل بیمار عاشقان چو صبا فدای عارض نسرین و چشم نرگس شد به صدر مصطبه‌ام می‌نشاند اکنون دوست گدای شهر نگه کن که میر مجلس شد خیال آب خضر بست و جام اسکندر به جرعه نوشی سلطان ابوالفوارس شد طربسرای محبت کنون شود معمور که طاق ابروی یار منش مهندس شد لب از ترشح می پاک کن برای خدا که خاطرم به هزاران گنه موسوس شد کرشمه تو شرابی به عاشقان پیمود که علم بی‌خبر افتاد و عقل بی‌حس شد چو زر عزیز وجود است نظم من آری قبول دولتیان کیمیای این مس شد ز راه میکده یاران عنان بگردانید چرا که حافظ از این راه رفت و مفلس شد,2,"[[ 0.03747108 -0.00016837  0.00286943 ...  0.00470714  0.00046697
   0.02867498]]","[[ 0.01036171 -0.00020951  0.02890153 ...  0.00327684  0.01854712
   0.02522413]]"
2,LASER,1,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,466,زان می عشق کز او پخته شود هر خامی گر چه ماه رمضان است بیاور جامی روزها رفت که دست من مسکین نگرفت زلف شمشادقدی ساعد سیم اندامی روزه هر چند که مهمان عزیز است ای دل صحبتش موهبتی دان و شدن انعامی مرغ زیرک به در خانقه اکنون نپرد که نهاده‌ست به هر مجلس وعظی دامی گله از زاهد بدخو نکنم رسم این است که چو صبحی بدمد در پی اش افتد شامی یار من چون بخرامد به تماشای چمن برسانش ز من ای پیک صبا پیغامی آن حریفی که شب و روز می صاف کشد بود آیا که کند یاد ز دردآشامی حافظا گر ندهد داد دلت آصف عهد کام دشوار به دست آوری از خودکامی,1,"[[ 0.01119623 -0.00018184  0.00308245 ...  0.01036483  0.00174411
   0.0475729 ]]","[[ 0.01436393 -0.00023607  0.00410527 ...  0.00701662  0.00952549
   0.02672971]]"
3,LASER,1,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,67,ماهم این هفته برون رفت و به چشمم سالیست حال هجران تو چه دانی که چه مشکل حالیست مردم دیده ز لطف رخ او در رخ او عکس خود دید گمان برد که مشکین خالیست می‌چکد شیر هنوز از لب همچون شکرش گر چه در شیوه گری هر مژه‌اش قتالیست ای که انگشت نمایی به کرم در همه شهر وه که در کار غریبان عجبت اهمالیست بعد از اینم نبود شابه در جوهر فرد که دهان تو در این نکته خوش استدلالیست مژده دادند که بر ما گذری خواهی کرد نیت خیر مگردان که مبارک فالیست کوه اندوه فراقت به چه حالت بکشد حافظ خسته که از ناله تنش چون نالیست,2,"[[ 0.01119623 -0.00018184  0.00308245 ...  0.01036483  0.00174411
   0.0475729 ]]","[[ 0.04717535 -0.00016636  0.00233834 ...  0.01568107  0.01500359
   0.06286162]]"
4,LASER,2,ما باید از غیبت کردن پرهیز کنیم,491,سلامی چو بوی خوش آشنایی بدان مردم دیده روشنایی درودی چو نور دل پارسایان بدان شمع خلوتگه پارسایی نمی‌بینم از همدمان هیچ بر جای دلم خون شد از غصه ساقی کجایی ز کوی مغان رخ مگردان که آن جا فروشند مفتاح مشکل گشایی عروس جهان گر چه در حد حسن است ز حد می‌برد شیوه بی‌وفایی دل خسته من گرش همتی هست نخواهد ز سنگین دلان مومیایی می صوفی افکن کجا می‌فروشند که در تابم از دست زهد ریایی رفیقان چنان عهد صحبت شکستند که گویی نبوده‌ست خود آشنایی مرا گر تو بگذاری ای نفس طامع بسی پادشایی کنم در گدایی بیاموزمت کیمیای سعادت ز همصحبت بد جدایی جدایی مکن حافظ از جور دوران شکایت چه دانی تو ای بنده کار خدایی,1,"[[ 0.00283855 -0.00040279  0.00387745 ...  0.0127278   0.03353336
   0.00843114]]",[[0.0123981  0.00176739 0.01912561 ... 0.01914696 0.03323191 0.01078697]]
5,LASER,2,ما باید از غیبت کردن پرهیز کنیم,299,هزار دشمنم ار می‌کنند قصد هلاک گرم تو دوستی از دشمنان ندارم باک مرا امید وصال تو زنده می‌دارد و گر نه هر دمم از هجر توست بیم هلاک نفس نفس اگر از باد نشنوم بویش زمان زمان چو گل از غم کنم گریبان چاک رود به خواب دو چشم از خیال تو هیهات بود صبور دل اندر فراق تو حاشاک اگر تو زخم زنی به که دیگری مرهم و گر تو زهر دهی به که دیگری تریاک بضرب سیفک قتلی حیاتنا ابدا لان روحی قد طاب ان یکون فداک عنان مپیچ که گر می‌زنی به شمشیرم سپر کنم سر و دستت ندارم از فتراک تو را چنان که تویی هر نظر کجا بیند به قدر دانش خود هر کسی کند ادراک به چشم خلق عزیز جهان شود حافظ که بر در تو نهد روی مسکنت بر خاک,2,"[[ 0.00283855 -0.00040279  0.00387745 ...  0.0127278   0.03353336
   0.00843114]]","[[ 8.6921453e-03 -3.5937275e-05  6.0837488e-03 ...  5.1256452e-02
   1.8900178e-02  2.0525388e-02]]"
6,LASER,3,باید خاک وطن را دوست داشت,469,سینه مالامال درد است ای دریغا مرهمی دل ز تنهایی به جان آمد خدا را همدمی چشم آسایش که دارد از سپهر تیزرو ساقیا جامی به من ده تا بیاسایم دمی زیرکی را گفتم این احوال بین خندید و گفت صعب روزی بوالعجب کاری پریشان عالمی سوختم در چاه صبر از بهر آن شمع چگل شاه ترکان فارغ است از حال ما کو رستمی در طریق عشقبازی امن و آسایش بلاست ریش باد آن دل که با درد تو خواهد مرهمی اهل کام و ناز را در کوی رندی راه نیست ره روی باید جهان سوزی نه خامی بی‌غمی آدمی در عالم خاکی نمی‌آید به دست عالمی دیگر بباید ساخت و از نو آدمی خیز تا خاطر بدان ترک سمرقندی دهیم کز نسیمش بوی جوی مولیان آید همی گریه حافظ چه سنجد پیش استغنای عشق کاندر این دریا نماید هفت دریا شبنمی,1,"[[ 0.0029406  -0.00023008  0.00048073 ...  0.00078502  0.00918903
   0.01806159]]","[[ 1.2854853e-02 -1.0445064e-05 -3.8117013e-04 ...  7.6995702e-03
   3.4679532e-02  7.8287888e-03]]"
7,LASER,3,باید خاک وطن را دوست داشت,257,هزار شکر که دیدم به کام خویشت باز ز روی صدق و صفا گشته با دلم دمساز روندگان طریقت ره بلا سپرند رفیق عشق چه غم دارد از نشیب و فراز غم حبیب نهان به ز گفت و گوی رقیب که نیست سینه ارباب کینه محرم راز اگر چه حسن تو از عشق غیر مستغنیست من آن نیم که از این عشقبازی آیم باز چه گویمت که ز سوز درون چه می‌بینم ز اشک پرس حکایت که من نیم غماز چه فتنه بود که مشاطه قضا انگیخت که کرد نرگس مستش سیه به سرمه ناز بدین سپاس که مجلس منور است به دوست گرت چو شمع جفایی رسد بسوز و بساز غرض کرشمه حسن است ور نه حاجت نیست جمال دولت محمود را به زلف ایاز غزل سرایی ناهید صرفه‌ای نبرد در آن مقام که حافظ برآورد آواز,2,"[[ 0.0029406  -0.00023008  0.00048073 ...  0.00078502  0.00918903
   0.01806159]]","[[ 0.00259521 -0.00021502  0.0061377  ...  0.00986124 -0.00038728
   0.04294967]]"
8,LASER,4,نباید براساس ظاهر افراد را قضاوت کرد,176,نه هر که چهره برافروخت دلبری داند نه هر که آینه سازد سکندری داند نه هر که طرف کله کج نهاد و تند نشست کلاه داری و آیین سروری داند تو بندگی چو گدایان به شرط مزد مکن که دوست خود روش بنده پروری داند غلام همت آن رند عافیت سوزم که در گداصفتی کیمیاگری داند وفا و عهد نکو باشد ار بیاموزی وگرنه هر که تو بینی ستمگری داند بباختم دل دیوانه و ندانستم که آدمی بچه‌ای شیوه پری داند هزار نکته باریکتر ز مو این جاست نه هر که سر بتراشد قلندری داند مدار نقطه بینش ز خال توست مرا که قدر گوهر یک دانه جوهری داند به قد و چهره هر آن کس که شاه خوبان شد جهان بگیرد اگر دادگستری داند ز شعر دلکش حافظ کسی بود آگاه که لطف طبع و سخن گفتن دری داند,1,"[[ 0.00543491 -0.00022611 -0.00075588 ...  0.00736804  0.00964529
   0.05986009]]","[[ 8.6245891e-03 -7.1793120e-06  2.0533511e-02 ...  6.3338196e-03
   1.0999708e-02  7.3362114e-03]]"
9,LASER,4,نباید براساس ظاهر افراد را قضاوت کرد,43,کنون که بر کف گل جام باده صاف است به صد هزار زبان بلبلش در اوصاف است بخواه دفتر اشعار و راه صحرا گیر چه وقت مدرسه و بحث کشف کشاف است فقیه مدرسه دی مست بود و فتوی داد که می حرام ولی به ز مال اوقاف است به درد و صاف تو را حکم نیست خوش درکش که هر چه ساقی ما کرد عین الطاف است ببر ز خلق و چو عنقا قیاس کار بگیر که صیت گوشه نشینان ز قاف تا قاف است حدیث مدعیان و خیال همکاران همان حکایت زردوز و بوریاباف است خموش حافظ و این نکته‌های چون زر سرخ نگاه دار که قلاب شهر صراف است,2,"[[ 0.00543491 -0.00022611 -0.00075588 ...  0.00736804  0.00964529
   0.05986009]]","[[ 0.00890401 -0.00015182  0.02609196 ...  0.01162193  0.02658374
   0.01360859]]"
