,output_text,vector,output_data_source,index
0,"ای رستخیز ناگهان، وی رحمت بی منتها	ای آتشی افروخته، در بیشه ی اندیشه ها
امروز خندان آمدی، مفتاح زندان آمدی	بر مستمندان آمدی، چون بخشش و فضل خدا
خورشید را حاجب تویی، اومید را واجب تویی	مطلب تویی طالب تویی، هم منتها هم مبتدا
در سینه ها برخاسته، اندیشه را آراسته	هم خویش حاجت خواسته، هم خویشتن کرده روا
ای روح بخش بی بَدَل، وی لذت علم و عمل	باقی بهانه ست و دغل، کاین علت آمد وآن دوا
ما زان دغل کژ بین شده، با بی گنه در کین شده	گه مست حورالعین شده، گه مست نان و شوربا
این سُکر بین هل عقل را، وین نقل بین ","[[-2.0170630e-05 -4.1015923e-07 -1.8121667e-05 ...  1.2995041e-03
  -3.0223338e-05 -8.8606030e-05]]",غزلیات مولوی,1
1,"ای طایران قدس را عشقت فزوده بال ها	در حلقه سودای تو روحانیان را حال ها
در ""لا احب الافلین""، پاکی ز صورت ها یقین	در دیده های غیب بین، هر دم ز تو تمثال ها
افلاک از تو سرنگون، خاک از تو چون دریای خون	ماهت نخوانم، ای فزون از ماه ها و سال ها
کوه از غمت بشکافته، وآن غم به دل درتافته	یک قطره خونی یافته، از فضلت این افضال ها
ای سروران را تو سند، بشمار ما را زان عدد	دانی سران را هم بود، اندر تبع دنبال ها
سازی ز خاکی سیدی، بر وی فرشته حاسدی	با نقد تو جان کاسدی، پامال گشته مال ها
آن کو تو باشی بال او، ای ر",[[0.00811476 0.00055842 0.00309808 ... 0.02004682 0.00424029 0.02345594]],غزلیات مولوی,2
2,"ای دل چه اندیشیده ای در عذر آن تقصیرها	زان سوی او چندان وفا زین سوی تو چندین جفا
زان سوی او چندان کرم زین سو خلاف و بیش و کم	زان سوی او چندان نعم زین سوی تو چندین خطا
زین سوی تو چندین حسد چندین خیال و ظن بد	زان سوی او چندان کشش چندان چشش چندان عطا
چندین چشش از بهر چه تا جان تلخت خوش شود	چندین کشش از بهر چه تا دررسی در اولیا
از بد پشیمان می شوی الله گویان می شوی	آن دم تو را او می کشد تا وارهاند مر تو را
از جرم ترسان می شوی وز چاره پرسان می شوی	آن لحظه ترساننده را با خود نمی بینی چرا
گر چشم تو برب","[[-1.18002405e-04 -2.80360202e-09 -1.71756130e-06 ...  3.33802134e-04
  -1.95197044e-05  4.08270251e-04]]",غزلیات مولوی,3
3,"ای یوسف خوش نام ما خوش می روی بر بام ما	ای درشکسته جام ما ای بردریده دام ما
ای نور ما ای سور ما ای دولت منصور ما	جوشی بنه در شور ما تا می شود انگور ما
ای دلبر و مقصود ما ای قبله و معبود ما	آتش زدی در عود ما نظاره کن در دود ما
ای یار ما عیار ما دام دل خمار ما	پا وامکش از کار ما بستان گرو دستار ما
در گل بمانده پای دل جان می دهم چه جای دل	وز آتش سودای دل ای وای دل ای وای ما","[[ 9.6382581e-05 -8.2485601e-09 -8.0357967e-07 ...  7.1485818e-04
  -1.7676033e-05  1.0143357e-04]]",غزلیات مولوی,4
4,"آن شکل بین وان شیوه بین وان قد و خد و دست و پا	آن رنگ بین وان هنگ بین وان ماه بدر اندر قبا
از سرو گویم یا چمن از لاله گویم یا سمن	از شمع گویم یا لگن یا رقص گل پیش صبا
ای عشق چون آتشکده در نقش و صورت آمده	بر کاروان دل زده یک دم امان ده یا فتی
در آتش و در سوز من شب می برم تا روز من	ای فرخ پیروز من از روی آن شمس الضحی
بر گرد ماهش می تنم بی لب سلامش می کنم	خود را زمین برمی زنم زان پیش کو گوید صلا
گلزار و باغ عالمی چشم و چراغ عالمی	هم درد و داغ عالمی چون پا نهی اندر جفا
آیم کنم جان را گرو گویی مده زح","[[ 0.00421871  0.00388542  0.00597659 ...  0.00366418 -0.0009841
   0.01388797]]",غزلیات مولوی,5
5,"بگریز ای میر اجل از ننگ ما از ننگ ما	زیرا نمی دانی شدن همرنگ ما همرنگ ما
از حمله های جند او وز زخم های تند او	سالم نماند یک رگت بر چنگ ما بر چنگ ما
اول شرابی درکشی سرمست گردی از خوشی	بیخود شوی آنگه کنی آهنگ ما آهنگ ما
زین باده می خواهی برو اول تنک چون شیشه شو	چون شیشه گشتی برشکن بر سنگ ما بر سنگ ما
هر کان می احمر خورد بابرگ گردد برخورد	از دل فراخی ها برد دلتنگ ما دلتنگ ما
بس جره ها در جو زند بس بربط شش تو زند	بس با شهان پهلو زند سرهنگ ما سرهنگ ما
ماده است مریخ زمن این جا در این خنجر زدن	با مقنعه",[[0.00014211 0.0079155  0.00815927 ... 0.00651356 0.00446515 0.02118858]],غزلیات مولوی,6
6,"بنشسته ام من بر درت تا بوک برجوشد وفا	باشد که بگشایی دری گویی که برخیز اندرآ
غرقست جانم بر درت در بوی مشک و عنبرت	ای صد هزاران مرحمت بر روی خوبت دایما
ماییم مست و سرگران فارغ ز کار دیگران	عالم اگر برهم رود عشق تو را بادا بقا
عشق تو کف برهم زند صد عالم دیگر کند	صد قرن نو پیدا شود بیرون ز افلاک و خل
ای عشق خندان همچو گل وی خوش نظر چون عقل کل	خورشید را درکش به جل ای شهسوار هل اتی
امروز ما مهمان تو مست رخ خندان تو	چون نام رویت می برم دل می رود والله ز جا
کو بام غیر بام تو کو نام غیر نام تو	کو جام غی",[[0.02260914 0.00061541 0.01301197 ... 0.0064     0.00623523 0.0275081 ]],غزلیات مولوی,7
7,"جز وی چه باشد کز اجل اندررباید کل ما	صد جان برافشانم بر او گویم هنییا مرحبا
رقصان سوی گردون شوم زان جا سوی بی چون شوم	صبر و قرارم برده ای ای میزبان زودتر بیا
از مه ستاره می بری تو پاره پاره می بری	گه شیرخواره می بری گه می کشانی دایه را
دارم دلی همچون جهان تا می کشد کوه گران	من که کشم که کی کشم زین کاهدان واخر مرا
گر موی من چون شیر شد از شوق مردن پیر شد	من آردم گندم نیم چون آمدم در آسیا
در آسیا گندم رود کز سنبله زادست او	زاده مهم نی سنبله در آسیا باشم چرا
نی نی فتد در آسیا هم نور مه از روزنی	زان ",[[0.01024424 0.01447203 0.01003922 ... 0.02584518 0.00500816 0.01110272]],غزلیات مولوی,8
8,"من از کجا پند از کجا باده بگردان ساقیا	آن جام جان افزای را برریز بر جان ساقیا
بر دست من نه جام جان ای دستگیر عاشقان	دور از لب بیگانگان پیش آر پنهان ساقیا
نانی بده نان خواره را آن طامع بیچاره را	آن عاشق نانباره را کنجی بخسبان ساقیا
ای جان جان جان جان ما نامدیم از بهر نان	برجه گدارویی مکن در بزم سلطان ساقیا
اول بگیر آن جام مه بر کفه آن پیر نه	چون مست گردد پیر ده رو سوی مستان ساقیا
رو سخت کن ای مرتجا مست از کجا شرم از کجا	ور شرم داری یک قدح بر شرم افشان ساقیا
برخیز ای ساقی بیا ای دشمن شرم و حیا	تا ",[[0.01293798 0.01134072 0.00982233 ... 0.0246564  0.01092232 0.01352926]],غزلیات مولوی,9
9,"مهمان شاهم هر شبی بر خوان احسان و وفا	مهمان صاحب دولتم که دولتش پاینده با
بر خوان شیران یک شبی بوزینه ای همراه شد	استیزه رو گر نیستی او از کجا شیر از کجا
بنگر که از شمشیر شه در قهرمان خون می چکد	آخر چه گستاخی است این والله خطا والله خطا
گر طفل شیری پنجه زد بر روی مادر ناگهان	تو دشمن خود نیستی بر وی منه تو پنجه را
آن کو ز شیران شیر خورد او شیر باشد نیست مرد	بسیار نقش آدمی دیدم که بود آن اژدها
نوح ار چه مردم وار بد طوفان مردم خوار بد	گر هست آتش ذره ای آن ذره دارد شعله ها
شمشیرم و خون ریز من هم نرم","[[ 3.9728968e-03  7.1750306e-05 -8.2655309e-04 ...  7.2804047e-03
   1.2410911e-03  1.3479694e-02]]",غزلیات مولوی,10
