,output_text,vector,output_data_source,index
0,"ای رستخیز ناگهان، وی رحمت بی منتها	ای آتشی افروخته، در بیشه ی اندیشه ها
امروز خندان آمدی، مفتاح زندان آمدی	بر مستمندان آمدی، چون بخشش و فضل خدا
خورشید را حاجب تویی، اومید را واجب تویی	مطلب تویی طالب تویی، هم منتها هم مبتدا
در سینه ها برخاسته، اندیشه را آراسته	هم خویش حاجت خواسته، هم خویشتن کرده روا
ای روح بخش بی بَدَل، وی لذت علم و عمل	باقی بهانه ست و دغل، کاین علت آمد وآن دوا
ما زان دغل کژ بین شده، با بی گنه در کین شده	گه مست حورالعین شده، گه مست نان و شوربا
این سُکر بین هل عقل را، وین نقل بین هل نقل را	کز بهر نان و بقل را، چندین نشاید ماجرا
تدبیر صدرنگ افکنی، بر روم و بر زنگ افکنی	و اندر میان جنگ افکنی، فی اصطناع لا یری
میمال پنهان گوش جان، مینه بهانه بر کسان	جان رب خلصنی زنان، والله که لاغست ای کیا
خامش که بس مستعجلم، رفتم سوی پای علم	کاغذ بنه بشکن قلم، ساقی درآمد، الصلا","[[-1.1620440e-05 -3.1574828e-07 -6.5810193e-05 ...  9.9972694e-04
  -1.5156602e-05  2.6018517e-06]]",غزلیات مولوی,1
1,"ای یوسف خوش نام ما خوش می روی بر بام ما	ای درشکسته جام ما ای بردریده دام ما
ای نور ما ای سور ما ای دولت منصور ما	جوشی بنه در شور ما تا می شود انگور ما
ای دلبر و مقصود ما ای قبله و معبود ما	آتش زدی در عود ما نظاره کن در دود ما
ای یار ما عیار ما دام دل خمار ما	پا وامکش از کار ما بستان گرو دستار ما
در گل بمانده پای دل جان می دهم چه جای دل	وز آتش سودای دل ای وای دل ای وای ما","[[ 9.6382581e-05 -8.2485601e-09 -8.0357967e-07 ...  7.1485818e-04
  -1.7676033e-05  1.0143357e-04]]",غزلیات مولوی,4
2,"بگریز ای میر اجل از ننگ ما از ننگ ما	زیرا نمی دانی شدن همرنگ ما همرنگ ما
از حمله های جند او وز زخم های تند او	سالم نماند یک رگت بر چنگ ما بر چنگ ما
اول شرابی درکشی سرمست گردی از خوشی	بیخود شوی آنگه کنی آهنگ ما آهنگ ما
زین باده می خواهی برو اول تنک چون شیشه شو	چون شیشه گشتی برشکن بر سنگ ما بر سنگ ما
هر کان می احمر خورد بابرگ گردد برخورد	از دل فراخی ها برد دلتنگ ما دلتنگ ما
بس جره ها در جو زند بس بربط شش تو زند	بس با شهان پهلو زند سرهنگ ما سرهنگ ما
ماده است مریخ زمن این جا در این خنجر زدن	با مقنعه کی تان شدن در جنگ ما در جنگ ما
گر تیغ خواهی تو ز خور از بدر برسازی سپر	گر قیصری اندرگذر از زنگ ما از زنگ ما
اسحاق شو در نحر ما خاموش شو در بحر ما	تا نشکند کشتی تو در گنگ ما در گنگ ما","[[2.8419619e-05 1.2045130e-02 6.7427605e-03 ... 1.5095263e-02
  3.4252903e-03 2.2988299e-02]]",غزلیات مولوی,6
3,"جز وی چه باشد کز اجل اندررباید کل ما	صد جان برافشانم بر او گویم هنییا مرحبا
رقصان سوی گردون شوم زان جا سوی بی چون شوم	صبر و قرارم برده ای ای میزبان زودتر بیا
از مه ستاره می بری تو پاره پاره می بری	گه شیرخواره می بری گه می کشانی دایه را
دارم دلی همچون جهان تا می کشد کوه گران	من که کشم که کی کشم زین کاهدان واخر مرا
گر موی من چون شیر شد از شوق مردن پیر شد	من آردم گندم نیم چون آمدم در آسیا
در آسیا گندم رود کز سنبله زادست او	زاده مهم نی سنبله در آسیا باشم چرا
نی نی فتد در آسیا هم نور مه از روزنی	زان جا به سوی مه رود نی در دکان نانبا
با عقل خود گر جفتمی من گفتنی ها گفتمی	خاموش کن تا نشنود این قصه را باد هوا",[[0.00963028 0.01625947 0.00858385 ... 0.02466601 0.00430979 0.01787275]],غزلیات مولوی,8
4,"من از کجا پند از کجا باده بگردان ساقیا	آن جام جان افزای را برریز بر جان ساقیا
بر دست من نه جام جان ای دستگیر عاشقان	دور از لب بیگانگان پیش آر پنهان ساقیا
نانی بده نان خواره را آن طامع بیچاره را	آن عاشق نانباره را کنجی بخسبان ساقیا
ای جان جان جان جان ما نامدیم از بهر نان	برجه گدارویی مکن در بزم سلطان ساقیا
اول بگیر آن جام مه بر کفه آن پیر نه	چون مست گردد پیر ده رو سوی مستان ساقیا
رو سخت کن ای مرتجا مست از کجا شرم از کجا	ور شرم داری یک قدح بر شرم افشان ساقیا
برخیز ای ساقی بیا ای دشمن شرم و حیا	تا بخت ما خندان شود پیش آی خندان ساقیا",[[0.01335591 0.01143201 0.0103699  ... 0.02385803 0.0091315  0.01264734]],غزلیات مولوی,9
5,"مهمان شاهم هر شبی بر خوان احسان و وفا	مهمان صاحب دولتم که دولتش پاینده با
بر خوان شیران یک شبی بوزینه ای همراه شد	استیزه رو گر نیستی او از کجا شیر از کجا
بنگر که از شمشیر شه در قهرمان خون می چکد	آخر چه گستاخی است این والله خطا والله خطا
گر طفل شیری پنجه زد بر روی مادر ناگهان	تو دشمن خود نیستی بر وی منه تو پنجه را
آن کو ز شیران شیر خورد او شیر باشد نیست مرد	بسیار نقش آدمی دیدم که بود آن اژدها
نوح ار چه مردم وار بد طوفان مردم خوار بد	گر هست آتش ذره ای آن ذره دارد شعله ها
شمشیرم و خون ریز من هم نرمم و هم تیز من	همچون جهان فانیم ظاهر خوش و باطن بلا","[[ 9.9374205e-03 -7.6078286e-06  5.1763738e-03 ...  1.5454707e-02
   9.4997147e-03  1.4887298e-02]]",غزلیات مولوی,10
6,"ای طوطی عیسی نفس وی بلبل شیرین نوا	هین زهره را کالیوه کن زان نغمه های جان فزا
دعوی خوبی کن بیا تا صد عدو و آشنا	با چهره ای چون زعفران با چشم تر آید گوا
غم جمله را نالان کند تا مرد و زن افغان کند	که داد ده ما را ز غم کو گشت در ظلم اژدها
غم را بدرانی شکم با دورباش زیر و بم	تا غلغل افتد در عدم از عدل تو ای خوش صدا
ساقی تو ما را یاد کن صد خیک را پرباد کن	ارواح را فرهاد کن در عشق آن شیرین لقا
چون تو سرافیل دلی زنده کن آب و گلی	دردم ز راه مقبلی در گوش ما نفخه خدا
ما همچو خرمن ریخته گندم به کاه آمیخته	هین از نسیم باد جان که را ز گندم کن جدا
تا غم به سوی غم رود خرم سوی خرم رود	تا گل به سوی گل رود تا دل برآید بر سما
این دانه های نازنین محبوس مانده در زمین	در گوش یک باران خوش موقوف یک باد صبا
تا کار جان چون زر شود با دلبران هم بر شود	پا بود اکنون سر شود که بود اکنون کهربا
خاموش کن آخر دمی دستور بودی گفتمی	سری که نفکندست کس در گوش اخوان صفا",[[0.00804721 0.00109485 0.02335813 ... 0.03105062 0.00755002 0.01946577]],غزلیات مولوی,11
7,"ای نوبهار عاشقان داری خبر از یار ما	ای از تو آبستن چمن و ای از تو خندان باغ ها
ای بادهای خوش نفس عشاق را فریادرس	ای پاکتر از جان و جا آخر کجا بودی کجا
ای فتنه روم و حبش حیران شدم کاین بوی خوش	پیراهن یوسف بود یا خود روان مصطفی
ای جویبار راستی از جوی یار ماستی	بر سینه ها سیناستی بر جان هایی جان فزا
ای قیل و ای قال تو خوش و ای جمله اشکال تو خوش	ماه تو خوش سال تو خوش ای سال و مه چاکر تو را","[[ 1.1846043e-04 -3.2871757e-08 -9.5600581e-06 ...  1.0064627e-03
  -3.4276862e-05 -1.2653723e-04]]",غزلیات مولوی,12
8,"آمد ندا از آسمان جان را که بازآ الصلا	جان گفت ای نادی خوش اهلا و سهلا مرحبا
سمعا و طاعه ای ندا هر دم دو صد جانت فدا	یک بار دیگر بانگ زن تا برپرم بر هل اتی
ای نادره مهمان ما بردی قرار از جان ما	آخر کجا می خوانیم گفتا برون از جان و جا
از پای این زندانیان بیرون کنم بند گران	بر چرخ بنهم نردبان تا جان برآید بر علا
تو جان جان افزاستی آخر ز شهر ماستی	دل بر غریبی می نهی این کی بود شرط وفا
آوارگی نوشت شده خانه فراموشت شده	آن گنده پیر کابلی صد سحر کردت از دغا
این قافله بر قافله پویان سوی آن مرحله	چون برنمی گردد سرت چون دل نمی جوشد تو را
بانگ شتربان و جرس می نشنود از پیش و پس	ای بس رفیق و همنفس آن جا نشسته گوش ما
خلقی نشسته گوش ما مست و خوش و بی هوش ما	نعره زنان در گوش ما که سوی شاه آ ای گدا","[[-2.7596898e-04 -1.0383143e-07 -1.2365094e-06 ...  4.0978333e-04
  -5.4919874e-06 -6.9376845e-05]]",غزلیات مولوی,17
9,"ای یوسف خوش نام ما خوش می روی بر بام ما	انا فتحنا الصلا بازآ ز بام از در درآ
ای بحر پرمرجان من والله سبک شد جان من	این جان سرگردان من از گردش این آسیا
ای ساربان با قافله مگذر مرو زین مرحله	اشتر بخوابان هین هله نه از بهر من بهر خدا
نی نی برو مجنون برو خوش در میان خون برو	از چون مگو بی چون برو زیرا که جان را نیست جا
گر قالبت در خاک شد جان تو بر افلاک شد	گر خرقه تو چاک شد جان تو را نبود فنا
از سر دل بیرون نه ای بنمای رو کایینه ای	چون عشق را سرفتنه ای پیش تو آید فتنه ها
گویی مرا چون می روی گستاخ و افزون می روی	بنگر که در خون می روی آخر نگویی تا کجا
گفتم کز آتش های دل بر روی مفرش های دل	می غلط در سودای دل تا بحر یفعل ما یشا
هر دم رسولی می رسد جان را گریبان می کشد	بر دل خیالی می دود یعنی به اصل خود بیا
دل از جهان رنگ و بو گشته گریزان سو به سو	نعره زنان کان اصل کو جامه دران اندر وفا",[[0.00538145 0.00179021 0.01163961 ... 0.01946225 0.0063437  0.02266553]],غزلیات مولوی,18
