,output_text,vector,output_data_source,index
0,"یَزعُمُ أَنّهُ قَد بَایَعَ بِیَدِهِ وَ لَم یُبَایِع بِقَلبِهِ فَقَد أَقَرّ بِالبَیعَةِ وَ ادّعَی الوَلِیجَةَ فَلیَأتِ عَلَیهَا بِأَمرٍ یُعرَفُ وَ إِلّا فَلیَدخُل فِیمَا خَرَجَ مِنهُ
","[[ 4.0082294e-03 -4.3895016e-05 -5.9447098e-05 ...  3.8293861e-03
   9.1242585e-03  4.0353887e-02]]",حکمت نهج البلاغه,8
1,"وَ قَد أَرعَدُوا وَ أَبرَقُوا وَ مَعَ هَذَینِ الأَمرَینِ الفَشَلُ وَ لَسنَا نُرعِدُ حَتّی نُوقِعَ وَ لَا نُسِیلُ حَتّی نُمطِرَ
",[[0.00880494 0.01218664 0.00616598 ... 0.00649851 0.00967231 0.01435607]],حکمت نهج البلاغه,9
2,"أَلَا وَ إِنّ الشّیطَانَ قَد جَمَعَ حِزبَهُ وَ استَجلَبَ خَیلَهُ وَ رَجِلَهُ وَ إِنّ معَیِ لبَصَیِرتَیِ مَا لَبّستُ عَلَی نفَسیِ وَ لَا لُبّسَ عَلَیّ وَ ایمُ اللّهِ لَأُفرِطَنّ لَهُم حَوضاً أَنَا مَاتِحُهُ لَا یَصدُرُونَ عَنهُ وَ لَا یَعُودُونَ إِلَیهِ
","[[ 0.01116345  0.01715132 -0.00106028 ...  0.00709765 -0.00176753
   0.02121054]]",حکمت نهج البلاغه,10
3,"تَزُولُ الجِبَالُ وَ لَا تَزُل عَضّ عَلَی نَاجِذِکَ أَعِرِ اللّهَ جُمجُمَتَکَ تِد فِی الأَرضِ قَدَمَکَ ارمِ بِبَصَرِکَ أَقصَی القَومِ وَ غُضّ بَصَرَکَ وَ اعلَم أَنّ النّصرَ مِن عِندِ اللّهِ سُبحَانَهُ
",[[0.00279466 0.00206789 0.00183107 ... 0.00335211 0.00387242 0.01827459]],حکمت نهج البلاغه,11
4,"أَرضُکُم قَرِیبَةٌ مِنَ المَاءِ بَعِیدَةٌ مِنَ السّمَاءِ خَفّت عُقُولُکُم وَ سَفِهَت حُلُومُکُم فَأَنتُم غَرَضٌ لِنَابِلٍ وَ أُکلَةٌ لِآکِلٍ وَ فَرِیسَةٌ لِصَائِلٍ
","[[ 6.1081359e-03 -3.5592820e-05 -1.7463494e-03 ...  8.8674383e-04
   1.5436932e-03  1.0944529e-02]]",حکمت نهج البلاغه,14
5,"وَ اللّهِ لَو وَجَدتُهُ قَد تُزُوّجَ بِهِ النّسَاءُ وَ مُلِکَ بِهِ الإِمَاءُ لَرَدَدتُهُ فَإِنّ فِی العَدلِ سَعَةً وَ مَن ضَاقَ عَلَیهِ العَدلُ فَالجَورُ عَلَیهِ أَضیَقُ
","[[ 0.00296494  0.01969297  0.00042442 ...  0.00033585 -0.00069431
   0.02019448]]",حکمت نهج البلاغه,15
6,"فَإِنّ الغَایَةَ أَمَامَکُم وَ إِنّ وَرَاءَکُمُ السّاعَةَ تَحدُوکُم تَخَفّفُوا تَلحَقُوا فَإِنّمَا یُنتَظَرُ بِأَوّلِکُم آخِرُکُم
",[[0.01002736 0.00609326 0.01578566 ... 0.00013503 0.00448796 0.00969367]],حکمت نهج البلاغه,21
7,"لَا تَلقَیَنّ طَلحَةَ فَإِنّکَ إِن تَلقَهُ تَجِدهُ کَالثّورِ عَاقِصاً قَرنَهُ یَرکَبُ الصّعبَ وَ یَقُولُ هُوَ الذّلُولُ وَ لَکِنِ القَ الزّبَیرَ فَإِنّهُ أَلیَنُ عَرِیکَةً فَقُل لَهُ یَقُولُ لَکَ ابنُ خَالِکَ عرَفَتنَیِ بِالحِجَازِ وَ أنَکرَتنَیِ بِالعِرَاقِ فَمَا عَدَا مِمّا بَدَا
",[[0.00636289 0.02351264 0.00504036 ... 0.0097278  0.00935951 0.02436971]],حکمت نهج البلاغه,31
8,"قَبّحَ اللّهُ مَصقَلَةَ فَعَلَ فِعلَ السّادَةِ وَ فَرّ فِرَارَ العَبِیدِ فَمَا أَنطَقَ مَادِحَهُ حَتّی أَسکَتَهُ وَ لَا صَدّقَ وَاصِفَهُ حَتّی بَکّتَهُ وَ لَو أَقَامَ لَأَخَذنَا مَیسُورَهُ وَ انتَظَرنَا بِمَالِهِ وُفُورَهُ
","[[ 0.00762512  0.00198559 -0.00179367 ...  0.01392192  0.00733694
   0.01669805]]",حکمت نهج البلاغه,44
9,"کأَنَیّ بِکِ یَا کُوفَةُ تُمَدّینَ مَدّ الأَدِیمِ العکُاَظیِ‌ّ تُعرَکِینَ بِالنّوَازِلِ وَ تُرکَبِینَ بِالزّلَازِلِ وَ إنِیّ لَأَعلَمُ أَنّهُ مَا أَرَادَ بِکِ جَبّارٌ سُوءاً إِلّا ابتَلَاهُ اللّهُ بِشَاغِلٍ وَ رَمَاهُ بِقَاتِلٍ
","[[ 0.0093625   0.02402002 -0.00181327 ...  0.00420657  0.00279105
   0.01892057]]",حکمت نهج البلاغه,47
