Argument ID,Conclusion,Premise,Score
F01000,عادت طمع انسان را پست می‌کند.,طمع، صخره لغزنده اى است که قدم هاى عالمان، بر آن استوار نمى ماند,1
F01001,عادت طمع انسان را پست می‌کند.,افراد طمّاع براى رسيدن به مقصود خود بايد تن به هر ذلتى بدهند و دست سؤال به سوى هر کس دراز کنند و شخصيت خود را براى نيل به اهداف طمع کارانه خود بشکنند.,1
F01002,عادت طمع انسان را پست می‌کند.,آن که جان را با طمع‌ورزی بپوشاند خود را پست کرده است.,1
F01003,عادت طمع انسان را پست می‌کند.,طمع ورزى، بردگى هميشگى است.,1
F01004,عادت طمع انسان را پست می‌کند.,شخص حریص به خاطر دلباختگی به دنیا خطراتی را که در اطراف او وجود دارد نمی‌بیند و با عجله و شتاب به پیش می‌تازد,-1
F01005,آشکار ساختن سختی‌ها انسان را خوار می‌کند.,طرح مشکلات نزد کسانى که هيچ گونه توانايى براى حل آن ندارند اثرى جز ذلت و سرافکندگى انسان نخواهد داشت. در اين گونه موارد بايد خويشتن دار بود و لب به شکايت نگشود.,1
F01006,آشکار ساختن سختی‌ها انسان را خوار می‌کند.,انسان عاقل نيز بايد اسرارش را در دل خود پنهان دارد، چرا که اسرار او اگر به دست دوست بيفتد گاه سبب ناراحتى او مى شود و اگر به دست دشمن بيفتد ممکن است سبب آبروريزى او شود.,1
F01007,آشکار ساختن سختی‌ها انسان را خوار می‌کند.,آن کس که راز سختی‌های خود را آشکار سازد خود را خوار کرده است.,1
F01008,آشکار ساختن سختی‌ها انسان را خوار می‌کند.,گفتن سختی‌ها به دوستان و افراد خردمند کمک می‌کند تا بتوانیم از راه‌‌حل‌ها و ایده‌های آن‌ها بهره‌مند شویم.,-1
F01009,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,زبان انسان باايمان پشت قلب (و فکر) اوست، لذا هنگامى که مى خواهد سخنى بگويد نخست در آن تدبّر مى کند سپس بر زبانش جارى مى سازد، ولى زبان منافق جلوى قلب اوست، لذا هنگامى که تصميم به چيزى مى گيرد بدون هيچ گونه تدبّر بر زبانش جارى مى سازد,1
