,output_id,output_text
0,2873,در سخن گفتن خطای جاهلان پیدا شود تیر کج چون از کمان بیرون دود رسوا شود
1,2874,ترا دیدم و یوسف را شنیدم شنیدن کی بود مانند دیدن
2,2875,دل ز پر گفتن بمیرد در بدن گر چه گفتارش بود در عدن
3,2876,امشب تو را به خوبی نسبت به ماه کردم تو خوب تر ز ماهی من اشتباه کردم
4,2877,به همان قدر که چشم تو پر از زیباییست بی تو دنیای من ای دوست پر از تنهاییست
5,2878,در این فکرم که خواهی ماند با من مهربان یا نه به من کم میکنی لطفی که داری این زمان یا نه
6,2879,به صد سال یک دوست آید به دست به یک روز توان کرد دشمن به شصت
7,2880,طاعت آن نیست که بر خاک نهی پیشانی صدق پیش آر که ابلیس بسی کرد سجود
8,2881,ز گفتار بیهوده جز رنج نیست چو خاموشی اندر جهان گنج نیست
9,2882,بزرگی سراسر به گفتار نیست دو صد گفته چون نیم کردار نیست
10,2883,مباش درپی آزار و هرچه خواهی کن که در شریعت ما غیر از این گناهی نیست
11,2884,یک عمر دور و تنها تنها به جرم اینکه او سرسپرده میخواست من دل سپرده بودم
12,2885,قناعت کن اگر در آرزوی گنج قارونی گدای خویش باش ار طالب ملک سلیمانی
13,2886,میرود کز ما جدا گردد ولی جان و دل با اوست هر جا میرود
14,2887,به زیورها بیارایند مردم خوبرویان را تو سیمین تن چنان خوبی که زیورها بیارایی
15,2888,کلید دوزخ است آن نماز که در چشم مردم گزاری دراز
16,2889,مثل تنهایی یک کوچه در این شهر شلوغ دلخوش آمدن و رفتن یک رهگذرم
17,2890,ز لب دوختن غنچه را زندگیست چو بشکفت زان پس پراکندگیست
18,2891,سرمای قوس تک تک دندان ندیده ای بر عیال و سفره بی نان ندیده ای
19,2892,نیست عاشق یافتن آسان غنیمت دان مرا غنچه را دل خون شود تا بلبلی پیدا شود
20,2893,بیا تا قدر یکدیگر بدانیم که تا ناگه ز یکدیگر نمانیم
21,2894,جان پدر تو سفره بی نان ندیده ای سرمای قوس و تک تک دندان ندیده ای
22,2895,بر مال و جمال خویش غره مشو کان را به شبی برند و این را به تبی
23,2896,معرفت در گرانی است به هرکس ندهند پر طاووس قشنگ است به کرکس ندهند
24,2897,دشمن خود را نباید زد تبر گر توانی کشت او را با شکر
25,2898,تا تو مراد من دهی کشته مرا فراق تو تا تو به داد من رسی من به خدا رسیده ام
26,2899,آن نخل ناخلف که تبر شد ز ما نبود ما را زمانه گر شکند ساز میشویم
27,2900,گر عمارت را بری بر آسمان عاقبت زیر زمین گردی نهان
28,2901,از تواضع کم نگردد رتبه گردن کشان نیست عیبی گر بود شمشیر لنگردار کج
