,output_id,output_text
0,3223,Be yourself everyone else is already taken
1,3224,I 'm selfish impatient and a little insecure I make mistakes I am out of control and at times hard to handle But if you ca n't handle me at my worst then you sure as hell do n't deserve me at my best
2,3225,Two things are infinite the universe and human stupidity and I 'm not sure about the universe
3,3226,A room without books is like a body without a soul
4,3227,Be who you are and say what you feel because those who mind do n't matter and those who matter do n't mind
5,3228,You 've got ta dance like there 's nobody watching Love like you 'll never be hurt Sing like there 's nobody listening And live like it 's heaven on earth
6,3229,You know you 're in love when you ca n't fall asleep because reality is finally better than your dreams
7,3230,You only live once but if you do it right once is enough
8,3231,Be the change that you wish to see in the world
9,3232,In three words I can sum up everything I 've learned about life it goes on
10,3233,If you want to know what a man 's like take a good look at how he treats his inferiors not his equals
11,3234,Don t walk in front of me I may not followDon t walk behind me I may not leadWalk beside me just be my frien
12,3235,If you tell the truth you do n't have to remember anything
13,3236,Friendship ... is born at the moment when one man says to another `` What You too I thought that no one but myself
14,3237,A friend is someone who knows all about you and still loves you
15,3238,Always forgive your enemies nothing annoys them so much
16,3239,To live is the rarest thing in the world Most people exist that is all
17,3240,Live as if you were to die tomorrow Learn as if you were to live forever
18,3241,Darkness can not drive out darkness only light can do that Hate can not drive out hate only love can do that
19,3242,Without music life would be a mistake
20,3243,We accept the love we think we deserve
21,3244,I am so clever that sometimes I do n't understand a single word of what I am saying
22,3245,To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment
23,3246,Insanity is doing the same thing over and over again but expecting different results
24,3247,Twenty years from now you will be more disappointed by the things that you did n't do than by the ones you did do So throw off the bowlines Sail away from the safe harbor Catch the trade winds in your sails Explore Dream Discover
25,3248,It is better to be hated for what you are than to be loved for what you are not
26,3249,All that is gold does not glitter Not all those who wander are lost The old that is strong does not wither Deep roots are not reached by the frost.From the ashes a fire shall be woken A light from the shadows shall spring Renewed shall be blade that was broken The crownless again shall be king
27,3250,It is our choices Harry that show what we truly are far more than our abilities
28,3251,The person be it gentleman or lady who has not pleasure in a good novel must be intolerably stupid
29,3252,Imperfection is beauty madness is genius and it 's better to be absolutely ridiculous than absolutely boring
30,3253,There are only two ways to live your life One is as though nothing is a miracle The other is as though everything is a miracle
31,3254,It does not do to dwell on dreams and forget to live
32,3255,Good friends good books and a sleepy conscience this is the ideal life
33,3256,As he read I fell in love the way you fall asleep slowly and then all at once
34,3257,We are all in the gutter but some of us are looking at the stars
35,3258,Fairy tales are more than true not because they tell us that dragons exist but because they tell us that dragons can be beaten
36,3259,It is better to remain silent at the risk of being thought a fool than to talk and remove all doubt of it
37,3260,The fool doth think he is wise but the wise man knows himself to be a fool
38,3261,Whenever you find yourself on the side of the majority it is time to reform or pause and reflect
39,3262,Life is what happens to us while we are making other plans
40,3263,Yesterday is history tomorrow is a mystery today is a gift of God which is why we call it the present
41,3264,"I have not failed I 've just found 10,000 ways that wo n't work"
42,3265,It is not a lack of love but a lack of friendship that makes unhappy marriages
43,3266,The opposite of love is not hate it 's indifference The opposite of art is not ugliness it 's indifference The opposite of faith is not heresy it 's indifference And the opposite of life is not death it 's indifference
44,3267,A woman is like a tea bag you never know how strong it is until it 's in hot water
45,3268,The man who does not read has no advantage over the man who can not read
46,3269,If you do n't stand for something you will fall for anything
47,3270,I may not have gone where I intended to go but I think I have ended up where I needed to be
48,3271,I solemnly swear that I am up to no good
49,3272,Outside of a dog a book is man 's best friend Inside of a dog it 's too dark to read
50,3273,I am enough of an artist to draw freely upon my imagination Imagination is more important than knowledge Knowledge is limited Imagination encircles the world
51,3274,Love all trust a few do wrong to none
52,3275,I like nonsense it wakes up the brain cells Fantasy is a necessary ingredient in living
53,3276,Have you ever been in love Horrible is n't it It makes you so vulnerable It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up
54,3277,A day without sunshine is like you know night
55,3278,A reader lives a thousand lives before he dies said Jojen The man who never reads lives only one
56,3279,Never put off till tomorrow what may be done day after tomorrow just as well
57,3280,You have brains in your head You have feet in your shoes You can steer yourself any direction you choose You 're on your own And you know what you know And YOU are the one who 'll decide where to go..
58,3281,That which does not kill us makes us stronger
59,3282,Being deeply loved by someone gives you strength while loving someone deeply gives you courage
60,3283,It is never too late to be what you might have been
61,3284,For every minute you are angry you lose sixty seconds of happiness
62,3285,It takes a great deal of bravery to stand up to our enemies but just as much to stand up to our friends
63,3286,I love deadlines I love the whooshing noise they make as they go by
64,3287,If you judge people you have no time to love them
65,3288,There is never a time or place for true love It happens accidentally in a heartbeat in a single flashing throbbing moment
66,3289,If you ca n't explain it to a six year old you do n't understand it yourself
67,3290,I 'm not upset that you lied to me I 'm upset that from now on I ca n't believe you
68,3291,There is no greater agony than bearing an untold story inside you
69,3292,Love is that condition in which the happiness of another person is essential to your own
70,3293,Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car
71,3294,If you only read the books that everyone else is reading you can only think what everyone else is thinking
72,3295,I have always imagined that Paradise will be a kind of library
73,3296,Everything you can imagine is real
74,3297,Women and cats will do as they please and men and dogs should relax and get used to the idea
75,3298,Sometimes the questions are complicated and the answers are simple
76,3299,Never trust anyone who has not brought a book with them
77,3300,You love me Real or not real `` I tell him `` Real
78,3301,You can never get a cup of tea large enough or a book long enough to suit me
79,3302,We read to know we 're not alone
80,3303,Sometimes you read a book and it fills you with this weird evangelical zeal and you become convinced that the shattered world will never be put back together unless and until all living humans read the book
81,3304,All you need is love But a little chocolate now and then does n't hurt
82,3305,Of course it is happening inside your head Harry but why on earth should that mean that it is not real
83,3306,Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye
84,3307,Life is n't about finding yourself Life is about creating yourself
85,3308,Today you are You that is truer than true There is no one alive who is Youer than You
86,3309,To the well-organized mind death is but the next great adventure
87,3310,I 'm not afraid of death I just do n't want to be there when it happens
88,3311,If one can not enjoy reading a book over and over again there is no use in reading it at all
89,3312,If you want your children to be intelligent read them fairy tales If you want them to be more intelligent read them more fairy tales
90,3313,Have you fallen in love with the wrong person yet 'Jace said `` Unfortunately Lady of the Haven my one true love remains myself. '' ... `` At least '' she said `` you do n't have to worry about rejection Jace Wayland `` `` Not necessarily I turn myself down occasionally just to keep it interesting
91,3314,Logic will get you from A to Z imagination will get you everywhere
92,3315,Whenever I feel the need to exercise I lie down until it goes away
93,3316,I am nothing special of this I am sure I am a common man with common thoughts and I 've led a common life There are no monuments dedicated to me and my name will soon be forgotten but I 've loved another with all my heart and soul and to me this has always been enough
94,3317,Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are
95,3318,You do n't get to choose if you get hurt in this world ... but you do have some say in who hurts you I like my choices
96,3319,The truth is everyone is going to hurt you You just got to find the ones worth suffering for
97,3320,The more that you read the more things you will know The more that you learn the more places you 'll go
98,3321,Love looks not with the eyes but with the mind And therefore is winged Cupid painted blind
99,3322,Folks are usually about as happy as they make their minds up to be
100,3323,Do what you can with what you have where you are
101,3324,There is no friend as loyal as a book
102,3325,One good thing about music when it hits you you feel no pain
103,3326,I find television very educating Every time somebody turns on the set I go into the other room and read a book
104,3327,The story so far In the beginning the Universe was created.This has made a lot of people very angry and been widely regarded as a bad move
105,3328,Not all of us can do great things But we can do small things with great love
106,3329,Success is not final failure is not fatal it is the courage to continue that counts
107,3330,Love is like the wind you ca n't see it but you can feel it
108,3331,Listen to the mustn'ts child Listen to the don'ts Listen to the shouldn'ts the impossibles the won'ts Listen to the never haves then listen close to me ... Anything can happen child Anything can be
109,3332,When one door of happiness closes another opens but often we look so long at the closed door that we do not see the one which has been opened for us
110,3333,If you live to be a hundred I want to live to be a hundred minus one day so I never have to live without you
111,3334,So this is my life And I want you to know that I am both happy and sad and I 'm still trying to figure out how that could be
112,3335,It matters not what someone is born but what they grow to be
113,3336,Life is like riding a bicycle To keep your balance you must keep moving
114,3337,There is nothing I would not do for those who are really my friends I have no notion of loving people by halves it is not my nature
115,3338,You do n't love someone because they 're perfect you love them in spite of the fact that they 're not
116,3339,Some people never go crazy What truly horrible lives they must lead
117,3340,The difference between genius and stupidity is genius has its limits
118,3341,Love never dies a natural death It dies because we do n't know how to replenish its source It dies of blindness and errors and betrayals It dies of illness and wounds it dies of weariness of witherings of tarnishings
119,3342,What really knocks me out is a book that when you 're all done reading it you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it That does n't happen much though
120,3343,If you can make a woman laugh you can make her do anything
121,3344,We re all a little weird And life is a little weird And when we find someone whose weirdness is compatible with ours we join up with them and fall into mutually satisfying weirdnessâ€ ” and call it loveâ€ ” true love
122,3345,You don t have a soul Doctor You are a soul You have a body temporarily
123,3346,I would venture to guess that Anon who wrote so many poems without signing them was often a woman
124,3347,Some infinities are bigger than other infinities
125,3348,Do one thing every day that scares you
