,index,input_id,output_id,input_text,output_text,chapter,tag
0,489,46,2987,نباید عیب دیگران را بر ملا کنیم,بی قدر ساخت خود را، نخوت فزود ما را بر ما و خود ستم کرد، هر کس ستود ما را,,-1
1,396,15,3128,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,بی‌جوهران به تربیت آدم نمی‌شوند شبنم به بوی گل نتواند گلاب شد,,0
2,281,15,3353,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,I love mankind ... it's people I can't stand!,,0
3,372,7,2922,ثروت چیز خوبی است,تواضع گر چه محبوب است و فضل بیکران دارد نباید کرد بیش از حد که هیبت را زیان دارد,,0
4,806,30,3203,نباید مغرور باشیم,در این عالم از هرچه بایستنیست نکوتر ز فرزند شایسته نیست,,0
5,626,12,3203,انسان واقعی در برابر ظلم سکوت نمی‌کند,در این عالم از هرچه بایستنیست نکوتر ز فرزند شایسته نیست,,0
6,718,21,5207,آخرت را بر دنیا باید ترجیح داد,No one is useless in this world who lightens the burdens of another,,0
7,434,28,3119,باید شکرگزار باشیم,بلا ندیده دعا را شروع باید کرد علاج واقعه پیش از وقوع باید کرد,,1
8,437,29,3051,باید به زیر دستان احترام گذاشت,آنجا که جهل مایه تمکین و سروریست باید به روز مردم دانا گریست,,0
9,325,37,3493,باید در هنگام پیمان بستن دقت کنیم,All we have to decide is what to do with the time that is given us,,0
10,713,21,2506,آخرت را بر دنیا باید ترجیح داد,ای بی تو حرام زندگانی خود بی تو کدام زندگانی بی روی خوش تو زنده بودن مرگ است به نام زندگانی پازهر تویی و زهر دنیا دانه تو و دام زندگانی گوهر تو و این جهان چو حقه باده تو و جام زندگانی بی آب تو گلستان چو شوره بی جوش تو خام زندگانی بی خوبی حسن باقوامت نگرفته قوام زندگانی با جمله مراد و کام بی تو نایافته کام زندگانی تا داد سلامتی ندادی کی کرد سلام زندگانی خامش کردم بکن تو شاهی پیش تو غلام زندگانی,2734,0
11,876,37,3165,باید در هنگام پیمان بستن دقت کنیم,چو باید از این تخت زر برخاستن نیرزد نشستن به برخاستن,,0
12,751,25,376,بخشی از زمان هر روز را باید به تفریح و بخش دیگری را به کار اختصاص داد,ما شبی دست برآریم و دعایی بکنیم غم هجران تو را چاره ز جایی بکنیم دل بیمار شد از دست رفیقان مددی تا طبیبش به سر آریم و دوایی بکنیم آن که بی جرم برنجید و به تیغم زد و رفت بازش آرید خدا را که صفایی بکنیم خشک شد بیخ طرب راه خرابات کجاست تا در آن آب و هوا نشو و نمایی بکنیم مدد از خاطر رندان طلب ای دل ور نه کار صعب است مبادا که خطایی بکنیم سایه طایر کم حوصله کاری نکند طلب از سایه میمون همایی بکنیم دلم از پرده بشد حافظ خوشگوی کجاست تا به قول و غزلش ساز نوایی بکنیم,غزل    ۳۷۷,0
13,904,40,3089,باید سعی کنیم نیکو عمل کنیم,امیر قافله را هم تغافلی باید که نا‌امید نگردندقاطعان طریق,,1
14,470,40,3119,باید سعی کنیم نیکو عمل کنیم,بلا ندیده دعا را شروع باید کرد علاج واقعه پیش از وقوع باید کرد,,0
15,145,47,135,هرکاری را می‌توان انجام داد به جز تغییر عادت‌ها,دست در حلقه آن زلف دوتا نتوان کرد تکیه بر عهد تو و باد صبا نتوان کرد آن چه سعی است من اندر طلبت بنمایم این قدر هست که تغییر قضا نتوان کرد دامن دوست به صد خون دل افتاد به دست به فسوسی که کند خصم رها نتوان کرد عارضش را به مثل ماه فلک نتوان گفت نسبت دوست به هر بی سر و پا نتوان کرد سروبالای من آن گه که درآید به سماع چه محل جامه جان را که قبا نتوان کرد نظر پاک تواند رخ جانان دیدن که در آیینه نظر جز به صفا نتوان کرد مشکل عشق نه در حوصله دانش ماست حل این نکته بدین فکر خطا نتوان کرد غیرتم کشت که محبوب جهانی لیکن روز و شب عربده با خلق خدا نتوان کرد من چه گویم که تو را نازکی طبع لطیف تا به حدیست که آهسته دعا نتوان کرد بجز ابروی تو محراب دل حافظ نیست طاعت غیر تو در مذهب ما نتوان کرد,غزل    ۱۳۶,0
16,735,23,3202,باید فرزندان خود را به خوبی تربیت کنیم,داغ فرزندی کند فرزند دیگر را عزیز تنگتر گیرد ز مجنون دامن صحرا مرا,,0
17,144,47,314,هرکاری را می‌توان انجام داد به جز تغییر عادت‌ها,به غیر از آن که بشد دین و دانش از دستم بیا بگو که ز عشقت چه طرف بربستم اگر چه خرمن عمرم غم تو داد به باد به خاک پای عزیزت که عهد نشکستم چو ذره گر چه حقیرم ببین به دولت عشق که در هوای رخت چون به مهر پیوستم بیار باده که عمریست تا من از سر امن به کنج عافیت از بهر عیش ننشستم اگر ز مردم هشیاری ای نصیحتگو سخن به خاک میفکن چرا که من مستم چگونه سر ز خجالت برآورم بر دوست که خدمتی به سزا برنیامد از دستم بسوخت حافظ و آن یار دلنواز نگفت که مرهمی بفرستم که خاطرش خستم,غزل    ۳۱۵,0
18,661,16,185,نباید از دیگران درخواست های متعدد داشت,گر می فروش حاجت رندان روا کند ایزد گنه ببخشد و دفع بلا کند ساقی به جام عدل بده باده تا گدا غیرت نیاورد که جهان پربلا کند حقا کز این غمان برسد مژده امان گر سالکی به عهد امانت وفا کند گر رنج پیش آید و گر راحت ای حکیم نسبت مکن به غیر که این‌ها خدا کند در کارخانه‌ای که ره عقل و فضل نیست فهم ضعیف رای فضولی چرا کند مطرب بساز پرده که کس بی اجل نمرد وان کو نه این ترانه سراید خطا کند ما را که درد عشق و بلای خمار کشت یا وصل دوست یا می صافی دوا کند جان رفت در سر می و حافظ به عشق سوخت عیسی دمی کجاست که احیای ما کند,غزل    ۱۸۶,0
19,513,1,1412,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,آن مطرب ما خوشست و چنگش دیوانه شود دل از ترنگش چون چنگ زند یکی تو بنگر کز لطف چگونه گشت رنگش گر تنگ آیی ز زندگانی برجه به کنار گیر تنگش,1240,0
20,809,30,5551,نباید مغرور باشیم,و قال ع لا طاعه لمخلوق فی معصیه الخالق,336,0
21,123,36,216,باید اهل یاری کردن یکدیگر بود,مسلمانان مرا وقتی دلی بود که با وی گفتمی گر مشکلی بود به گردابی چو می‌افتادم از غم به تدبیرش امید ساحلی بود دلی همدرد و یاری مصلحت بین که استظهار هر اهل دلی بود ز من ضایع شد اندر کوی جانان چه دامنگیر یا رب منزلی بود هنر بی‌عیب حرمان نیست لیکن ز من محرومتر کی سالی بود بر این جان پریشان رحمت آرید که وقتی کاردانی کاملی بود مرا تا عشق تعلیم سخن کرد حدیثم نکته هر محفلی بود مگو دیگر که حافظ نکته‌دان است که ما دیدیم و محکم جاهلی بود,غزل    ۲۱۷,2
22,684,18,3104,نباید اندوهگین شد,ایام زمانه از کسی دارد ننگ کو در غم ایام نشیند دلتنگ,,2
23,998,49,4370,لزوما رسیدن به چیزی که آرزو داریم به نفع ما نیست,We must be willing to let go of the life we planned so as to have the life that is waiting for us,,2
24,272,11,5073,باید به یتیمان کمک کرد,"To survive, you must tell stories",,0
25,602,10,1281,نباید عیبی که خودمان داریم را به دیگران نسبت دهیم,گفتی که زیان کنی زیان گیر گفتی که تو ملحدی چنان گیر گفتی که تو روبهی نه ای شیر ما را سقط همه سگان گیر گفتی که ز دل خبر نداری ای مونس دل مرا زبان گیر,1059,0
26,503,0,2065,باید حقوق دیگران را رعایت کنیم,نحن الی سیدنا راجعون طیبه النفس به طایعون سیدنا یصبح یبتا عنا انفسنا نحن له بایعون یفسد ان جاع الی موکل نحن الی نظرته جایعون سوف تلاقیه به میعاده تحسب انا ابدا ضایعون,2129,0
27,490,46,2897,نباید عیب دیگران را بر ملا کنیم,دشمن خود را نباید زد تبر گر توانی کشت او را با شکر,,0
28,762,26,906,انسان نباید فخر فروشی داشته باشد.,یکی گولی همی خواهم که در دلبر نظر دارد نمی خواهم هنرمندی که دیده در هنر دارد دلی همچون صدف خواهم که در جان گیرد آن گوهر دل سنگین نمی خواهم که پندار گهر دارد ز خودبینی جدا گشته پر از عشق خدا گشته ز مالش های غم غافل به مالنده عبر دارد,584,2
29,733,23,2507,باید فرزندان خود را به خوبی تربیت کنیم,چون سوی برادری بپویی باید که نخست رو بشویی در سر ز خمارت ار صداعی است تصدیع برادران نجویی یا بوی بغل ز خود برانی یا ترک کنار دوست گویی در سور مهی بنفشه مویی کی شرط بود که تو بمویی بی دام اگرت شکار باید می دانک چو من محال جویی ور گوش تو گرم شد ز مستی صوفی سماع و های و هویی ور هوش تو بی خبر شد از گوش یک توی نه ای هزارتویی,2736,0
