,index,input_id,output_id,input_text,output_text,chapter,tag
366,254,2,3285,ما باید از غیبت کردن پرهیز کنیم,We read to know we're not alone,,0
367,793,29,1555,باید به زیر دستان احترام گذاشت,زهی سرگشته در عالم سر و سامان که من دارم زهی در راه عشق تو دل بریان که من دارم وگر در راه بازار غم عشقت خریدارم به صد جان ها بنفروشم ز عشقت آنچ من دارم,1442,0
368,645,14,3167,باید حق‌جو وعدالت‌پیشه باشیم,چو در هنر پسر امتیاز خویش نه‌ای بزرگ بودن جد و پدر چه خواهد کرد,,0
369,895,39,3089,باید وفای به عهد داشته باشیم,امیر قافله را هم تغافلی باید که نا‌امید نگردندقاطعان طریق,,0
370,310,30,4727,نباید مغرور باشیم,If we couldn't laugh we would all go insane,,0
371,757,25,3306,بخشی از زمان هر روز را باید به تفریح و بخش دیگری را به کار اختصاص داد,"I find television very educating. Every time somebody turns on the set, I go into the other room and read a book",,0
372,897,39,4366,باید وفای به عهد داشته باشیم,Failure is the condiment that gives success its flavor,,0
373,336,43,3973,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,"There may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest",,0
374,545,4,3068,نباید براساس ظاهر افراد را قضاوت کرد,آن روز قبول درگه دوست شوی کز رد و قبول خلق پروا نکنی,,0
375,567,6,3798,تفاوت قائل شدن بین انسان‌ها درست است,The difference between the almost right word and the right word is really a large matter.  tis the difference between the lightning bug and the lightning,,0
376,934,43,2922,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,تواضع گر چه محبوب است و فضل بیکران دارد نباید کرد بیش از حد که هیبت را زیان دارد,,0
