,Unnamed: 0,input_id,output_id,input_text,output_text,chapter,tag
0,72,37,240,باید در هنگام پیمان بستن دقت کنیم,معاشران ز حریف شبانه یاد آرید حقوق بندگی مخلصانه یاد آرید به وقت سرخوشی از آه و ناله عشاق به صوت و نغمه چنگ و چغانه یاد آرید چو لطف باده کند جلوه در رخ ساقی ز عاشقان به سرود و ترانه یاد آرید چو در میان مراد آورید دست امید ز عهد صحبت ما در میانه یاد آرید سمند دولت اگر چند سرکشیده رود ز همرهان به سر تازیانه یاد آرید نمی‌خورید زمانی غم وفاداران ز بی‌وفایی دور زمانه یاد آرید به وجه مرحمت ای ساکنان صدر جلال ز روی حافظ و این آستانه یاد آرید,غزل    ۲۴۱,1
1,73,2,5556,ما باید از غیبت کردن پرهیز کنیم,و قال ع ترک الذنب اهون من طلب المعونه,341,2
2,74,18,322,نباید اندوهگین شد,ز دست کوته خود زیر بارم که از بالابلندان شرمسارم مگر زنجیر مویی گیردم دست وگر نه سر به شیدایی برآرم ز چشم من بپرس اوضاع گردون که شب تا روز اختر می‌شمارم بدین شکرانه می‌بوسم لب جام که کرد آگه ز راز روزگارم اگر گفتم دعای می فروشان چه باشد حق نعمت می‌گزارم من از بازوی خود دارم بسی شکر که زور مردم آزاری ندارم سری دارم چو حافظ مست لیکن به لطف آن سری امیدوارم,غزل    ۳۲۳,2
3,75,37,2507,باید در هنگام پیمان بستن دقت کنیم,چون سوی برادری بپویی باید که نخست رو بشویی در سر ز خمارت ار صداعی است تصدیع برادران نجویی یا بوی بغل ز خود برانی یا ترک کنار دوست گویی در سور مهی بنفشه مویی کی شرط بود که تو بمویی بی دام اگرت شکار باید می دانک چو من محال جویی ور گوش تو گرم شد ز مستی صوفی سماع و های و هویی ور هوش تو بی خبر شد از گوش یک توی نه ای هزارتویی,2736,2
4,76,46,5551,نباید عیب دیگران را بر ملا کنیم,و قال ع لا طاعه لمخلوق فی معصیه الخالق,336,1
5,77,14,3365,باید حق‌جو وعدالت‌پیشه باشیم,"We are what we pretend to be, so we must be careful about what we pretend to be",,1
6,78,19,5580,باید اهل یادگیری و دانش باشیم,و قال ع العلم مقرون بالعمل فمن علم عمل و العلم یهتف بالعمل فان اجابه و الا ارتحل عنه,366,2
7,79,16,162,نباید از دیگران درخواست های متعدد داشت,گل بی رخ یار خوش نباشد بی باده بهار خوش نباشد طرف چمن و طواف بستان بی لاله عذار خوش نباشد رقصیدن سرو و حالت گل بی صوت هزار خوش نباشد با یار شکرلب گل اندام بی بوس و کنار خوش نباشد هر نقش که دست عقل بندد جز نقش نگار خوش نباشد جان نقد محقر است حافظ از بهر نثار خوش نباشد,غزل    ۱۶۳,0
8,80,47,838,هرکاری را می‌توان انجام داد به جز تغییر عادت‌ها,به حق آن که در این دل بجز ولای تو نیست ولی او نشوم کو ز اولیای تو نیست مباد جانم بی غم اگر فدای تو نیست مباد چشمم روشن اگر سقای تو نیست وفا مباد امیدم اگر به غیر تو است خراب باد وجودم اگر برای تو نیست کدام حسن و جمالی که آن نه عکس تو است کدام شاه و امیری که او گدای تو نیست رضا مده که دلم کام دشمنان گردد ببین که کام دل من بجز رضای تو نیست قضا نتانم کردن دمی که بی تو گذشت ولی چه چاره که مقدور جز قضای تو نیست دلا بباز تو جان را بر او چه می لرزی بر او ملرز فدا کن چه شد خدای تو نیست ملرز بر خود تا بر تو دیگران لرزند به جان تو که تو را دشمنی ورای تو نیست,480,1
9,81,36,5529,باید اهل یاری کردن یکدیگر بود,و قال ع قله العیال احد الیسارین,313,0
10,82,43,3049,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,آدمی باید که بی‌حالی نباشد هیچگاه گر لب خندان نباشد چشم گریان هم خوش است,,0
11,83,45,4519,باید به پدر و مادر احترام گذاشت,People shouldn't be afraid of their government. Governments should be afraid of their people,,0
12,84,42,558,باید سختی‌ها را تحمل کرد,به برج دل رسیدی بیست این جا چو آن مه را بدیدی بیست این جا بسی این رخت خود را هر نواحی ز نادانی کشیدی بیست این جا بشد عمری و از خوبی آن مه به هر نوعی شنیدی بیست این جا ببین آن حسن را کز دیدن او بدید و نابدیدی بیست این جا به سینه تو که آن پستان شیرست که از شیرش چشیدی بیست این جا,108,1
13,85,31,433,باید خطاهای دیگران را ببخشیم,ای دل مباش یک دم خالی ز عشق و مستی وان گه برو که رستی از نیستی و هستی گر جان به تن ببینی مشغول کار او شو هر قبله‌ای که بینی بهتر ز خودپرستی با ضعف و ناتوانی همچون نسیم خوش باش بیماری اندر این ره بهتر ز تندرستی در مذهب طریقت خامی نشان کفر است آری طریق دولت چالاکی است و چستی تا فضل و عقل بینی بی‌معرفت نشینی یک نکته‌ات بگویم خود را مبین که رستی در آستان جانان از آسمان میندیش کز اوج سربلندی افتی به خاک پستی خار ار چه جان بکاهد گل عذر آن بخواهد سهل است تلخی می در جنب ذوق مستی صوفی پیاله پیما حافظ قرابه پرهیز ای کوته آستینان تا کی درازدستی,غزل    ۴۳۴,2
14,86,19,1675,باید اهل یادگیری و دانش باشیم,ما آب دریم ما چه دانیم چه شور و شریم ما چه دانیم هر دم ز شراب بی نشانی خود مستتریم ما چه دانیم تا گوهر حسن تو بدیدیم رخ همچو زریم ما چه دانیم تا عشق تو پای ما گرفته ست بی پا و سریم ما چه دانیم خشک و تر ما همه تویی تو خوش خشک و تریم ما چه دانیم سرحلقه زلف تو گرفتیم خوش می شمریم ما چه دانیم گر زیر و زبر شود دو عالم زیر و زبریم ما چه دانیم گر سبزه و باغ خشک گردد ما از تو چریم ما چه دانیم گلزار اگر همه بریزد گل از تو بریم ما چه دانیم گر چرخ هزار مه نماید در تو نگریم ما چه دانیم گر زانک شکر جهان بگیرد ما باده خوریم ما چه دانیم شمس تبریز ز آفتابت همچون قمریم ما چه دانیم,1579,1
15,87,29,5535,باید به زیر دستان احترام گذاشت,و قال ع المرء مخبوء تحت لسانه,319,0
16,88,21,1205,آخرت را بر دنیا باید ترجیح داد,دیده ها شب فراز باید کرد روز شد دیده باز باید کرد ترک ما هر طرف که مرکب راند آن طرف ترک تاز باید کرد مطبخ جان به سوی بی سوییست پوز آن سو دراز باید کرد چون چنین کان زر پدید آمد خویش را جمله گاز باید کرد جامه عمر را ز آب حیات چون خضر خوش طراز باید کرد چون غیورست آن نبات حیات زین شکر احتراز باید کرد چون چنین نازنین به خانه ماست وقت نازست ناز باید کرد با گل و خار ساختن مردیست مرد را ساز ساز باید کرد قبله روی او چو پیدا شد کعبه ها را نماز باید کرد سجده هایی که آن سری باشد پیش آن سرفراز باید کرد پیش آن عشق عاقبت محمود خویشتن را ایاز باید کرد چون حقیقت نهفته در خمشیست ترک گفت مجاز باید کرد,970,2
17,89,39,3858,باید وفای به عهد داشته باشیم,Life's under no obligation to give us what we expect,,1
18,90,7,187,ثروت چیز خوبی است,مرا به رندی و عشق آن فضول عیب کند که اعتراض بر اسرار علم غیب کند کمال سر محبت ببین نه نقص گناه که هر که بی‌هنر افتد نظر به عیب کند ز عطر حور بهشت آن نفس برآید بوی که خاک میکده ما عبیر جیب کند چنان زند ره اسلام غمزه ساقی که اجتناب ز صهبا مگر صهیب کند کلید گنج سعادت قبول اهل دل است مباد آن که در این نکته شک و ریب کند شبان وادی ایمن گهی رسد به مراد که چند سال به جان خدمت شعیب کند ز دیده خون بچکاند فسانه حافظ چو یاد وقت زمان شباب و شیب کند,غزل    ۱۸۸,1
19,91,35,354,مردم را باید از کارهای بد باز داشت,حالیا مصلحت وقت در آن می‌بینم که کشم رخت به میخانه و خوش بنشینم جام می گیرم و از اهل ریا دور شوم یعنی از اهل جهان پاکدلی بگزینم جز صراحی و کتابم نبود یار و ندیم تا حریفان دغا را به جهان کم بینم سر به آزادگی از خلق برآرم چون سرو گر دهد دست که دامن ز جهان درچینم بس که در خرقه آلوده زدم لاف صلاح شرمسار از رخ ساقی و می رنگینم سینه تنگ من و بار غم او هیهات مرد این بار گران نیست دل مسکینم من اگر رند خراباتم و گر زاهد شهر این متاعم که همی‌بینی و کمتر زینم بنده آصف عهدم دلم از راه مبر که اگر دم زنم از چرخ بخواهد کینم بر دلم گرد ستم‌هاست خدایا مپسند که مکدر شود آیینه مهرآیینم,غزل    ۳۵۵,2
20,92,41,2290,صبر یکی از صفات خردمندان است,فدیتتک یا ستی الناسیه الی کم تشد فم الخابیه الا فاملای منه لی کاسه تذکرنی صفوه ناسیه فما کاسه منه الا نجی و تاتی باخت لها آبیه,2426,0
21,93,30,906,نباید مغرور باشیم,یکی گولی همی خواهم که در دلبر نظر دارد نمی خواهم هنرمندی که دیده در هنر دارد دلی همچون صدف خواهم که در جان گیرد آن گوهر دل سنگین نمی خواهم که پندار گهر دارد ز خودبینی جدا گشته پر از عشق خدا گشته ز مالش های غم غافل به مالنده عبر دارد,584,1
22,94,36,3005,باید اهل یاری کردن یکدیگر بود,خدا کســــی است کـــه باید بــــه دیدنش بروی خدا کسی که از آن سخت می هراسی نیست,,0
23,95,16,3049,نباید از دیگران درخواست های متعدد داشت,آدمی باید که بی‌حالی نباشد هیچگاه گر لب خندان نباشد چشم گریان هم خوش است,,0
