,Unnamed: 0,input_id,output_id,input_text,output_text,chapter,tag,
0,0,0,5318,باید حقوق دیگران را رعایت کنیم,و قال ع من نصب نفسه للناس اماما فلیبدا بتعلیم نفسه قبل تعلیم غیره و لیکن تادیبه بسیرته قبل تادیبه بلسانه و معلم نفسه و مؤدبها احق بالاجلال من معلم الناس و مؤدبهم,73,1,1
1,4,4,5564,نباید براساس ظاهر افراد را قضاوت کرد,و قال ع للظالم من الرجال ثلاث علامات یظلم من فوقه بالمعصیه و من دونه بالغلبه و یظاهر القوم الظلمه,350,0,
2,9,9,5563,باید قدردان دارایی‌های خودمان باشیم,و قال ع اشد الذنوب ما استهان به صاحبه,348,0,
3,13,13,5563,باید بخشنده باشیم,و قال ع اشد الذنوب ما استهان به صاحبه,348,0,
4,14,14,5414,باید حق‌جو وعدالت‌پیشه باشیم,و قال ع ما شککت فی الحق مذ اریته,184,1,
5,15,15,5379,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,و قال ع المرء مخبوء تحت لسانه,148,0,
6,20,20,5259,باید مهربان بود,و قال ع اذا قدرت علی عدوک فاجعل العفو عنه شکرا للقدره علیه,11,2,
7,24,24,5589,باید در برابر مشکلات استقامت داشته باشیم,و قال ع احذر ان یراک الله عند معصیته و یفقدک عند طاعته فتکون من الخاسرین و اذا قویت فاقو علی طاعه الله و اذا ضعفت فاضعف عن معصیه الله,383,1,
8,34,34,5286,باید به قلب و احساسات توجه کرد,قلب الاحمق فی فیه و لسان العاقل فی قلبه,41,1,
9,35,35,5402,مردم را باید از کارهای بد باز داشت,و قال ع الناس اعداء ما جهلوا,172,0,
10,36,36,5490,باید اهل یاری کردن یکدیگر بود,روی‌ انه ع رفع الیه رجلان سرقا من مال الله احدهما عبد من مال الله و الاخر من عروض الناس فقال ع اما هذا فهو من مال الله و لا حد علیه مال الله اکل بعضه بعضا و اما الاخر فعلیه الحد الشدید فقطع یده,271,-1,
11,37,37,5476,باید در هنگام پیمان بستن دقت کنیم,و قال ع عرفت الله سبحانه بفسخ العزائم و حل العقود و نقض الهمم,250,-2,
12,40,40,5475,باید سعی کنیم نیکو عمل کنیم,و قال ع افضل الاعمال ما اکرهت نفسک علیه,249,0,
13,44,44,5521,باید خسیس باشیم,و قال ع ما زنی غیور قط,305,0,
14,47,47,5344,هرکاری را می‌توان انجام داد به جز تغییر عادت‌ها,و قال ع لا یترک الناس شیئا من امر دینهم لاستصلاح دنیاهم الا فتح الله علیهم ما هو اضر منه,106,-1,
15,48,48,5618,باید از منافق دوری کنیم,و قال ع کفاک ادبا لنفسک اجتناب ما تکرهه من غیرک,412,1,
16,53,1,226,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,گر چه بر واعظ شهر این سخن آسان نشود تا ریا ورزد و سالوس مسلمان نشود رندی آموز و کرم کن که نه چندان هنر است حیوانی که ننوشد می و انسان نشود گوهر پاک بباید که شود قابل فیض ور نه هر سنگ و گلی لل و مرجان نشود اسم اعظم بکند کار خود ای دل خوش باش که به تلبیس و حیل دیو مسلمان نشود عشق می‌ورزم و امید که این فن شریف چون هنرهای دگر موجب حرمان نشود دوش می‌گفت که فردا بدهم کام دلت سببی ساز خدایا که پشیمان نشود حسن خلقی ز خدا می‌طلبم خوی تو را تا دگر خاطر ما از تو پریشان نشود ذره را تا نبود همت عالی حافظ طالب چشمه خورشید درخشان نشود,غزل    ۲۲۷,1,
17,65,7,162,ثروت چیز خوبی است,گل بی رخ یار خوش نباشد بی باده بهار خوش نباشد طرف چمن و طواف بستان بی لاله عذار خوش نباشد رقصیدن سرو و حالت گل بی صوت هزار خوش نباشد با یار شکرلب گل اندام بی بوس و کنار خوش نباشد هر نقش که دست عقل بندد جز نقش نگار خوش نباشد جان نقد محقر است حافظ از بهر نثار خوش نباشد,غزل    ۱۶۳,-2,
18,70,10,368,نباید عیبی که خودمان داریم را به دیگران نسبت دهیم,ما ز یاران چشم یاری داشتیم خود غلط بود آن چه ما پنداشتیم تا درخت دوستی برگی دهد حالیا رفتیم و تخمی کاشتیم گفت و گو آیین درویشی نبود ور نه با تو ماجراها داشتیم شیوه چشمت فریب جنگ داشت ما غلط کردیم و صلح انگاشتیم گلبن حسنت نه خود شد دلفروز ما دم همت بر او بگماشتیم نکته‌ها رفت و شکایت کس نکرد جانب حرمت فرونگذاشتیم گفت خود دادی به ما دل حافظا ما محصل بر کسی نگماشتیم,غزل    ۳۶۹,1,
19,71,10,377,نباید عیبی که خودمان داریم را به دیگران نسبت دهیم,ما نگوییم بد و میل به ناحق نکنیم جامه کس سیه و دلق خود ازرق نکنیم عیب درویش و توانگر به کم و بیش بد است کار بد مصلحت آن است که مطلق نکنیم رقم مغلطه بر دفتر دانش نزنیم سر حق بر ورق شعبده ملحق نکنیم شاه اگر جرعه رندان نه به حرمت نوشد التفاتش به می صاف مروق نکنیم خوش برانیم جهان در نظر راهروان فکر اسب سیه و زین مغرق نکنیم آسمان کشتی ارباب هنر می‌شکند تکیه آن به که بر این بحر معلق نکنیم گر بدی گفت حسودی و رفیقی رنجید گو تو خوش باش که ما گوش به احمق نکنیم حافظ ار خصم خطا گفت نگیریم بر او ور به حق گفت جدل با سخن حق نکنیم,غزل    ۳۷۸,2,
20,72,11,216,باید به یتیمان کمک کرد,مسلمانان مرا وقتی دلی بود که با وی گفتمی گر مشکلی بود به گردابی چو می‌افتادم از غم به تدبیرش امید ساحلی بود دلی همدرد و یاری مصلحت بین که استظهار هر اهل دلی بود ز من ضایع شد اندر کوی جانان چه دامنگیر یا رب منزلی بود هنر بی‌عیب حرمان نیست لیکن ز من محرومتر کی سالی بود بر این جان پریشان رحمت آرید که وقتی کاردانی کاملی بود مرا تا عشق تعلیم سخن کرد حدیثم نکته هر محفلی بود مگو دیگر که حافظ نکته‌دان است که ما دیدیم و محکم جاهلی بود,غزل    ۲۱۷,0,
21,76,13,95,باید بخشنده باشیم,درد ما را نیست درمان الغیاث هجر ما را نیست پایان الغیاث دین و دل بردند و قصد جان کنند الغیاث از جور خوبان الغیاث در بهای بوسه‌ای جانی طلب می‌کنند این دلستانان الغیاث خون ما خوردند این کافردلان ای مسلمانان چه درمان الغیاث همچو حافظ روز و شب بی خویشتن گشته‌ام سوزان و گریان الغیاث,غزل    ۹۶,1,
