,Argument ID,Conclusion Farsi,Stance Farsi,Premise
0,X00,باید مهربان بود,به نفع,و قال ع اذا قدرت علی عدوک فاجعل العفو عنه شکرا للقدره علیه 
1,X01,مردم را باید از کارهای بد باز داشت,در مقابل,عیب رندان مکن ای زاهد پاکیزه سرشت که گناه دگران بر تو نخواهند نوشت من اگر نیکم و گر بد تو برو خود را باش هر کسی آن درود عاقبت کار که کشت همه کس طالب یارند چه هشیار و چه مست همه جا خانه عشق است چه مسجد چه کنشت سر تسلیم من و خشت در میکده‌ها مدعی گر نکند فهم سخن گو سر و خشت ناامیدم مکن از سابقه لطف ازل تو پس پرده چه دانی که که خوب است و که زشت نه من از پرده تقوا به درافتادم و بس پدرم نیز بهشت ابد از دست بهشت حافظا روز اجل گر به کف آری جامی یک سر از کوی خرابات برندت به بهشت
2,X02,در انتخاب دوست باید دقت کنیم,به نفع,در غم یار، یار بایستی یا غمم را کنار بایستی زانچ کردم کنون پشیمانم دل امسال پار بایستی دل من شیر بیشه را ماند شیر در مرغزار بایستی تا بدانستیی ز دشمن و دوست زندگانی دو بار بایستی دشمن عیب جوی بسیارست دوستی غمگسار بایستی ماهی جان ما که پیچانست بر لب جویبار بایستی چون رضای دل تو در غم ماست یک چه باشد؟ هزار بایستی یار لاحول گوی را چه کنم یار شیرین عذار بایستی خوک دنیاست صید این خامان آهوی جان شکار بایستی همره بی وفا همی لنگد همره راهوار بایستی صد هزاران سخن نهان دارم گوش را گوشوار بایستی
3,X03,باید قبل از سخن گفتن فکر کرد.,به نفع,Think before you speak. Read before you think
4,X04,میزان موفقیت به اندازه میزان رنج و تلاش است,به نفع,All happiness depends on courage and work
5,X05,لزوما رسیدن به چیزی که آرزو داریم به نفع ما نیست,به نفع,Whatever it is you're seeking won't come in the form you're expecting
6,X06,باید خاک وطن را دوست داشت,به نفع,خاکم به سر ز غصه به سر خاک اگر کنم خاک وطن که رفت چه خاکی به سر کنم
7,X07,باید شکرگزار باشیم,به نفع,به همه حال شکر باید کرد که مبادا ز بد بتر گردد
8,X08,باید به قلب و احساسات توجه کرد,به نفع,هر کجا عشق آید و ساکن شود هر چه نا ممکن بود ممکن شود
9,X09,ثروت چیز خوبی است,در مقابل,جزای حسن عمل بین که روزگار هنوز خراب می‎کند بارگاه کسری را
