,Argument ID,Conclusion Farsi,Stance Farsi,Premise
0,Z00,باید حق‌جو وعدالت‌پیشه باشیم,به نفع,و قال ع ما شککت فی الحق مذ اریته 
1,Z01,باید مهربان بود,به نفع,و قال ع اذا قدرت علی عدوک فاجعل العفو عنه شکرا للقدره علیه 
2,Z02,مردم را باید از کارهای بد باز داشت,در مقابل,عیب رندان مکن ای زاهد پاکیزه سرشت که گناه دگران بر تو نخواهند نوشت من اگر نیکم و گر بد تو برو خود را باش هر کسی آن درود عاقبت کار که کشت همه کس طالب یارند چه هشیار و چه مست همه جا خانه عشق است چه مسجد چه کنشت سر تسلیم من و خشت در میکده‌ها مدعی گر نکند فهم سخن گو سر و خشت ناامیدم مکن از سابقه لطف ازل تو پس پرده چه دانی که که خوب است و که زشت نه من از پرده تقوا به درافتادم و بس پدرم نیز بهشت ابد از دست بهشت حافظا روز اجل گر به کف آری جامی یک سر از کوی خرابات برندت به بهشت
3,Z03,انسان نباید فخر فروشی داشته باشد.,به نفع,جان خاک آن مهی که خداش است مشتری آن کس ملک ندید و نه انسان و نی پری چون از خودی برون شد او آدمی نماند او راست چشم روشن و گوش پیمبری تا آدمی است آدمی و تا ملک ملک بسته ست چشم هر دو از آن جان و دلبری عالم به حکم او است مر او را چه فخر از این چون آن او است خالق عالم به یک سوی بحری که کمترین شبه را گوهری کند حاشا از او که لاف برآرد ز گوهری آن ذره است لایق رقص چنان شعاع کو گشت از هزار چو خورشید و مه بری آن ذره ای که گر قدمش بوسد آفتاب خود ننگرد به تابش او جز که سرسری بنما مها به کوری خورشید تابشی تا زین سپس زنخ نزند از منوری درتاب شاه و مفخر تبریز شمس دین تا هر دو کون پر شود از نور داوری
4,Z04,در انتخاب دوست باید دقت کنیم,به نفع,در غم یار، یار بایستی یا غمم را کنار بایستی زانچ کردم کنون پشیمانم دل امسال پار بایستی دل من شیر بیشه را ماند شیر در مرغزار بایستی تا بدانستیی ز دشمن و دوست زندگانی دو بار بایستی دشمن عیب جوی بسیارست دوستی غمگسار بایستی ماهی جان ما که پیچانست بر لب جویبار بایستی چون رضای دل تو در غم ماست یک چه باشد؟ هزار بایستی یار لاحول گوی را چه کنم یار شیرین عذار بایستی خوک دنیاست صید این خامان آهوی جان شکار بایستی همره بی وفا همی لنگد همره راهوار بایستی صد هزاران سخن نهان دارم گوش را گوشوار بایستی
5,Z05,باید سختی‌ها را تحمل کرد,به نفع,پیش چنین ماه رو گیج شدن واجبست عشرت پروانه را شمع و لگن واجبست هست ز چنگ غمش گوش مرا کش مکش هر دمم از چنگ او تن تننن واجبست دلو دو چشم مرا گر چه که کم نیست آب مردمک دیده را چاه ذقن واجبست دلبر چون ماه را هر چه کند می رسد عاشق درگاه را خلق حسن واجبست طره خویش ای نگار خوش به کف من سپار هر که در این چه فتاد داد رسن واجبست عشق که شهر خوشیست این همه اغیار چیست حفظ چنین شهر را برج و بدن واجبست غمزه دزدیده را شحنه غم در پیست روشنی دیده را خوب ختن واجبست عاشق عیسی نه ای بی خور و خر کی زیی کالبد مرده را گور و کفن واجبست مریم جان را مخاض برد به نخل و ریاض منقطع درد را نزل وطن واجبست نزل دل بارکش هست ملاقات خوش ناقه پرفاقه را شرب و عطن واجبست لطف کن ای کان قند راه دهانم ببند اشتر سرمست را بند دهن واجبست
6,Z06,تفاوت قائل شدن بین انسان‌ها درست است,به نفع,One person's craziness is another person's reality
7,Z07,باید قبل از سخن گفتن فکر کرد.,به نفع,Think before you speak. Read before you think
8,Z08,باید قدردان دارایی‌های خودمان باشیم,به نفع,We accept the love we think we deserve
9,Z09,میزان موفقیت به اندازه میزان رنج و تلاش است,به نفع,All happiness depends on courage and work
10,Z010,باید فرزندان خود را به خوبی تربیت کنیم,به نفع,"Children must be taught how to think, not what to think"
11,Z011,باید اهل یاری کردن یکدیگر بود,به نفع,"Sometimes, the best way to help someone is just to be near them"
12,Z012,باید سعی کنیم نیکو عمل کنیم,به نفع,Try a little harder to be a little better
13,Z013,لزوما رسیدن به چیزی که آرزو داریم به نفع ما نیست,به نفع,Whatever it is you're seeking won't come in the form you're expecting
14,Z014,باید خاک وطن را دوست داشت,به نفع,خاکم به سر ز غصه به سر خاک اگر کنم خاک وطن که رفت چه خاکی به سر کنم
15,Z015,باید اهل یادگیری و دانش باشیم,به نفع,جهان سر به سر حکمت و عبرت است چرا بهره ما همه غفلت است
16,Z016,باید شکرگزار باشیم,به نفع,به همه حال شکر باید کرد که مبادا ز بد بتر گردد
17,Z017,باید به قلب و احساسات توجه کرد,به نفع,هر کجا عشق آید و ساکن شود هر چه نا ممکن بود ممکن شود
18,Z018,ثروت چیز خوبی است,در مقابل,جزای حسن عمل بین که روزگار هنوز خراب می‎کند بارگاه کسری را
19,Z019,باید قبل از سخن گفتن فکر کرد.,به نفع,و قال ع اذا تم العقل نقص الکلام 
20,Z020,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,به نفع,گفتار بسیار نه از نغزیست ولوله طبل ز بی مغزییست
21,Z021,باید اهل یادگیری و دانش باشیم,به نفع,"Knowledge speaks, but wisdom listen"
22,Z022,باید فرزندان خود را به خوبی تربیت کنیم,به نفع,در این عالم از هرچه بایستنیست نکوتر ز فرزند شایسته نیست
23,Z023,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,به نفع,و قال ع ما کذبت و لا کذبت و لا ضللت و لا ضل بی‌ 
24,Z024,هرکاری را می‌توان انجام داد به جز تغییر عادت‌ها,به نفع,We are addicted to our thoughts. We cannot change anything if we cannot change our thinking
25,Z025,باید سعی کنیم نیکو عمل کنیم,به نفع,جزای حسن عمل بین که روزگار هنوز خراب میکند بارگاه کسری را
26,Z026,نباید عیب دیگران را بر ملا کنیم,به نفع,عیب خود در پس آیینه نهان داشته‌ای تو که آیینه به عیب دگران داشته‌ای
27,Z027,باید به قلب و احساسات توجه کرد,به نفع,به هوش باش دلی را بسهو نخراشی به ناخنی که توانی گره گشایی کرد
28,Z028,نباید اندوهگین شد,به نفع,خنک آن کس که چو ما شد همگی لطف و رضا شد ز جفا رست و ز غصه همه شادی و وفا شد ز طرب چون طربون شد خرد از باده زبون شد گرو عشق و جنون شد گهر بحر صفا شد مه و خورشید نظر شد که از او خاک چو زر شد به کرم بحر گهر شد به روش باد صبا شد چو شه عشق کشیدش ز همه خلق بریدش نظر عشق گزیدش همه حاجات روا شد به سفر چون مه گردون به شب چارده پر شد به نظرهای الهی به یکی لحظه کجا شد چو زمین بود فلک شد همگی حسن و نمک شد بشری بود ملک شد مگسی بود هما شد
29,Z029,ما باید از غیبت کردن پرهیز کنیم,به نفع,و قال ع ترک الذنب اهون من طلب المعونه 
30,Z030,باید در هنگام پیمان بستن دقت کنیم,به نفع,چون سوی برادری بپویی باید که نخست رو بشویی در سر ز خمارت ار صداعی است تصدیع برادران نجویی یا بوی بغل ز خود برانی یا ترک کنار دوست گویی در سور مهی بنفشه مویی کی شرط بود که تو بمویی بی دام اگرت شکار باید می دانک چو من محال جویی ور گوش تو گرم شد ز مستی صوفی سماع و های و هویی ور هوش تو بی خبر شد از گوش یک توی نه ای هزارتویی
31,Z031,باید اهل یادگیری و دانش باشیم,به نفع,و قال ع العلم مقرون بالعمل فمن علم عمل و العلم یهتف بالعمل فان اجابه و الا ارتحل عنه 
32,Z032,آخرت را بر دنیا باید ترجیح داد,به نفع,دیده ها شب فراز باید کرد روز شد دیده باز باید کرد ترک ما هر طرف که مرکب راند آن طرف ترک تاز باید کرد مطبخ جان به سوی بی سوییست پوز آن سو دراز باید کرد چون چنین کان زر پدید آمد خویش را جمله گاز باید کرد جامه عمر را ز آب حیات چون خضر خوش طراز باید کرد چون غیورست آن نبات حیات زین شکر احتراز باید کرد چون چنین نازنین به خانه ماست وقت نازست ناز باید کرد با گل و خار ساختن مردیست مرد را ساز ساز باید کرد قبله روی او چو پیدا شد کعبه ها را نماز باید کرد سجده هایی که آن سری باشد پیش آن سرفراز باید کرد پیش آن عشق عاقبت محمود خویشتن را ایاز باید کرد چون حقیقت نهفته در خمشیست ترک گفت مجاز باید کرد
33,Z033,نباید براساس ظاهر افراد را قضاوت کرد,در مقابل,و قال ع من وضع نفسه مواضع التهمه فلا یلومن من اساء به الظن 
34,Z034,بخشی از زمان هر روز را باید به تفریح و بخش دیگری را به کار اختصاص داد,به نفع,خوش باش و زمان به کام یاران گذران زیرا که نماند این جهان بر یک حال
35,Z035,باید به زیر دستان احترام گذاشت,به نفع,امیر قافله را هم تغافلی باید که نا‌امید نگردندقاطعان طریق
36,Z036,ما باید از غیبت کردن پرهیز کنیم,به نفع,و قال ع کفاک ادبا لنفسک اجتناب ما تکرهه من غیرک 
37,Z037,باید اهل یاری کردن یکدیگر بود,به نفع,یار نخواهم که بود بدخو و غمخوار و ترش چون لحد و گور مغان تنگ و دل افشار و ترش یار چو آیینه بود دوست چو لوزینه بود ساعت یاری نبود خایف و فرار و ترش هر کی بود عاشق خود پنج نشان دارد بد سخت دل و سست قدم کاهل و بی کار و ترش ور چشمش بیش بود هم ترشی بیش کند دان مثل بیشی او سرکه بسیار ترش بس کن شرح ترشان این قدری بهر نشان کی طلبد در دل و جان طبع شکربار ترش
38,Z038,باید خطاهای دیگران را ببخشیم,به نفع,عیب مردم فاش کردن بدترین عیب‌هاست عیب‌گو اول کند بی‌پرده عیب خویش را
39,Z039,انسان واقعی در برابر ظلم سکوت نمی‌کند,به نفع,I decided it is better to scream. Silence is the real crime against humanity
40,Z040,آخرت را بر دنیا باید ترجیح داد,به نفع,و قال ع لا یترک الناس شیئا من امر دینهم لاستصلاح دنیاهم الا فتح الله علیهم ما هو اضر منه 
41,Z041,باید حقوق دیگران را رعایت کنیم,به نفع,بیا تا قدر یک دیگر بدانیم که تا ناگه ز یک دیگر نمانیم چو مومن آینه مومن یقین شد چرا با آینه ما روگرانیم کریمان جان فدای دوست کردند سگی بگذار ما هم مردمانیم فسون قل اعوذ و قل هو الله چرا در عشق همدیگر نخوانیم غرض ها تیره دارد دوستی را غرض ها را چرا از دل نرانیم گهی خوشدل شوی از من که میرم چرا مرده پرست و خصم جانیم چو بعد از مرگ خواهی آشتی کرد همه عمر از غمت در امتحانیم کنون پندار مردم آشتی کن که در تسلیم ما چون مردگانیم چو بر گورم بخواهی بوسه دادن رخم را بوسه ده کاکنون همانیم خمش کن مرده وار ای دل ازیرا به هستی متهم ما زین زبانیم
42,Z042,باید سختی‌ها را تحمل کرد,به نفع,ای برادر عاشقی را درد باید درد کو صابری و صادقی را مرد باید مرد کو چند از این ذکر فسرده چند از این فکر زمن نعره های آتشین و چهره های زرد کو کیمیا و زر نمی جویم مس قابل کجاست گرم رو را خود کی یابد نیم گرمی سرد کو
43,Z043,باید اهل یاری کردن یکدیگر بود,به نفع,بیا تا قدر یکدیگر بدانیم که تا ناگه ز یکدیگر نمانیم
44,Z044,باید سختی‌ها را تحمل کرد,در مقابل,"Life is to be enjoyed, not endure"
45,Z045,باید اهل یادگیری و دانش باشیم,به نفع,ای بی‌خبر بکوش که صاحب خبر شوی تا راهرو نباشی کی راهبر شوی در مکتب حقایق پیش ادیب عشق هان ای پسر بکوش که روزی پدر شوی دست از مس وجود چو مردان ره بشوی تا کیمیای عشق بیابی و زر شوی خواب و خورت ز مرتبه خویش دور کرد آن گه رسی به خویش که بی خواب و خور شوی گر نور عشق حق به دل و جانت اوفتد بالله کز آفتاب فلک خوبتر شوی یک دم غریق بحر خدا شو گمان مبر کز آب هفت بحر به یک موی تر شوی از پای تا سرت همه نور خدا شود در راه ذوالجلال چو بی پا و سر شوی وجه خدا اگر شودت منظر نظر زین پس شکی نماند که صاحب نظر شوی بنیاد هستی تو چو زیر و زبر شود در دل مدار هیچ که زیر و زبر شوی گر در سرت هوای وصال است حافظا باید که خاک درگه اهل هنر شوی
46,Z046,باید به قلب و احساسات توجه کرد,به نفع,"The most beautiful things in the world cannot be seen or touched, they are felt with the heart"
47,Z047,باید به زیر دستان احترام گذاشت,به نفع,مات خود را صنما مات مکن بجز از لطف و مراعات مکن خرده و بی ادبی ها که برفت عفو کن هیچ مکافات مکن وقت رحم است بکن کینه مکش بنده را طعمه آفات مکن به سر تو که جدایی مندیش جز که پیوند و ملاقات مکن خاک خود را به زمین برمگذار منزلش جز به سماوات مکن اولش جز به سوی خویش مکش آخرش جز که سعادات مکن آنچ خو کرد ز لطفت برسان ترک تیمار و جرایات مکن بنده اهل خرابات توایم پشت ما را به خرابات مکن ما که باشیم که گوییم مکن چونک گفتیم ممارات مکن
48,Z048,نباید براساس ظاهر افراد را قضاوت کرد,به نفع,نه هر که چهره برافروخت دلبری داند نه هر که آینه سازد سکندری داند نه هر که طرف کله کج نهاد و تند نشست کلاه داری و آیین سروری داند تو بندگی چو گدایان به شرط مزد مکن که دوست خود روش بنده پروری داند غلام همت آن رند عافیت سوزم که در گداصفتی کیمیاگری داند وفا و عهد نکو باشد ار بیاموزی وگرنه هر که تو بینی ستمگری داند بباختم دل دیوانه و ندانستم که آدمی بچه‌ای شیوه پری داند هزار نکته باریکتر ز مو این جاست نه هر که سر بتراشد قلندری داند مدار نقطه بینش ز خال توست مرا که قدر گوهر یک دانه جوهری داند به قد و چهره هر آن کس که شاه خوبان شد جهان بگیرد اگر دادگستری داند ز شعر دلکش حافظ کسی بود آگاه که لطف طبع و سخن گفتن دری داند
49,Z049,باید حقوق دیگران را رعایت کنیم,در مقابل,"You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love"
50,Z050,باید به قلب و احساسات توجه کرد,به نفع,اندر دل من درون و بیرون همه او است اندر تن من جان و رگ و خون همه اوست
51,Z051,در انتخاب دوست باید دقت کنیم,به نفع,از دشمنان برند شکایت به دوستان چون دوست دشمن است شکایت کجا بریم
52,Z052,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,به نفع,و قال ع مقاربه الناس فی اخلاقهم امن من غوائلهم 
53,Z053,مردم را باید از کارهای بد باز داشت,به نفع,The price good men pay for indifference to public affairs is to be ruled by evil men
54,Z054,باید اهل یاری کردن یکدیگر بود,به نفع,هزار جهد بکردم که یار من باشی مرادبخش دل بی‌قرار من باشی چراغ دیده شب زنده دار من گردی انیس خاطر امیدوار من باشی چو خسروان ملاحت به بندگان نازند تو در میانه خداوندگار من باشی از آن عقیق که خونین دلم ز عشوه او اگر کنم گله‌ای غمگسار من باشی در آن چمن که بتان دست عاشقان گیرند گرت ز دست برآید نگار من باشی شبی به کلبه احزان عاشقان آیی دمی انیس دل سوکوار من باشی شود غزاله خورشید صید لاغر من گر آهویی چو تو یک دم شکار من باشی سه بوسه کز دو لبت کرده‌ای وظیفه من اگر ادا نکنی قرض دار من باشی من این مراد ببینم به خود که نیم شبی به جای اشک روان در کنار من باشی من ار چه حافظ شهرم جوی نمی‌ارزم مگر تو از کرم خویش یار من باشی
55,Z055,باید به پدر و مادر احترام گذاشت,به نفع,مرا همچون پدر بنگر نه همچون شوهر مادر پدر را نیک واقف دان از آن کژبازی مضمر تو گردی راست اولیتر از آنک کژ نهی او را وگر تو کژ نهی او را به استیزت کند کژتر ز بابا بشنو و برجه که سلطانیت می خواند که خاک اوت کیخسرو بمیرد پیش او سنجر چو ان الله یدعو را شنیدی کژ مکن رو را زهی راعی زهی داعی زهی راه و زهی رهبر پراکنده شدی ای جان به هر درد و به هر درمان ز عشقش جوی جمعیت در آن جامع بنه منبر چو کر و فر او دیدی تویی کرار و شیر حق چو بال و پر او دیدی تویی طیار چون جعفر
56,Z056,باید قبل از سخن گفتن فکر کرد.,به نفع,The way to get started is to quit talking and begin doing.
57,Z057,باید به زیر دستان احترام گذاشت,به نفع,People shouldn't be afraid of their government. Governments should be afraid of their people
58,Z058,باید سختی‌ها را تحمل کرد,به نفع,و قال ع العجز افه و الصبر شجاعه و الزهد ثروه و الورع جنه و نعم القرین الرضی 
